P 	Elu		Relu	Sigmoid	Tanh
				
-3	-0.9502129316	0	0.0474258732	-0.9950547537
-2.9	-0.9449767799	0	0.0521535631	-0.9939631674
-2.8	-0.9391899374	0	0.0573241759	-0.9926315202
-2.7	-0.9327944873	0	0.0629733561	-0.9910074537
-2.6	-0.9257264218	0	0.0691384203	-0.9890274022
-2.5	-0.9179150014	0	0.07585818	-0.9866142982
-2.4	-0.9092820467	0	0.0831726965	-0.9836748577
-2.3	-0.8997411563	0	0.091122961	-0.9800963963
-2.2	-0.8891968416	0	0.0997504891	-0.97574313
-2.1	-0.8775435717	0	0.1090968212	-0.9704519366
-2	-0.8646647168	0	0.119202922	-0.9640275801
-1.9	-0.8504313808	0	0.1301084744	-0.9562374581
-1.8	-0.8347011118	0	0.1418510649	-0.9468060128
-1.7	-0.8173164759	0	0.1544652651	-0.9354090706
-1.6	-0.798103482	0	0.1679816149	-0.9216685544
-1.5	-0.7768698399	0	0.1824255238	-0.9051482536
-1.4	-0.7534030361	0	0.1978161114	-0.8853516482
-1.3	-0.727468207	0	0.214165017	-0.8617231593
-1.2	-0.6988057881	0	0.2314752165	-0.833654607
-1.1	-0.6671289163	0	0.2497398944	-0.8004990218
-1	-0.6321205588	0	0.2689414214	-0.761594156
-0.9	-0.5934303403	0	0.2890504974	-0.7162978702
-0.8	-0.5506710359	0	0.3100255189	-0.6640367703
-0.7	-0.5034146962	0	0.3318122278	-0.6043677771
-0.6	-0.4511883639	0	0.3543436938	-0.537049567
-0.5	-0.3934693403	0	0.3775406688	-0.4621171573
-0.4	-0.329679954	0	0.4013123399	-0.3799489623
-0.3	-0.2591817793	0	0.4255574832	-0.2913126125
-0.2	-0.1812692469	0	0.4501660027	-0.1973753202
-0.1	-0.095162582	0	0.4750208125	-0.0996679946
0	2.6645352591E-15	2.6645352591E-15	0.5	2.66E-15
0.1	0.1		0.1	0.5249791875	0.0996679946
0.2	0.2		0.2	0.5498339973	0.1973753202
0.3	0.3		0.3	0.5744425168	0.2913126125
0.4	0.4		0.4	0.5986876601	0.3799489623
0.5	0.5		0.5	0.6224593312	0.4621171573
0.6	0.6		0.6	0.6456563062	0.537049567
0.7	0.7		0.7	0.6681877722	0.6043677771
0.8	0.8		0.8	0.6899744811	0.6640367703
0.9	0.9		0.9	0.7109495026	0.7162978702
1	1		1	0.7310585786	0.761594156
1.1	1.1		1.1	0.7502601056	0.8004990218
1.2	1.2		1.2	0.7685247835	0.833654607
1.3	1.3		1.3	0.785834983	0.8617231593
1.4	1.4		1.4	0.8021838886	0.8853516482
1.5	1.5		1.5	0.8175744762	0.9051482536
1.6	1.6		1.6	0.8320183851	0.9216685544
1.7	1.7		1.7	0.8455347349	0.9354090706
1.8	1.8		1.8	0.8581489351	0.9468060128
1.9	1.9		1.9	0.8698915256	0.9562374581
2	2		2	0.880797078	0.9640275801
2.1	2.1		2.1	0.8909031788	0.9704519366
2.2	2.2		2.2	0.9002495109	0.97574313
2.3	2.3		2.3	0.908877039	0.9800963963
2.4	2.4		2.4	0.9168273035	0.9836748577
2.5	2.5		2.5	0.92414182	0.9866142982
2.6	2.6		2.6	0.9308615797	0.9890274022
2.7	2.7		2.7	0.9370266439	0.9910074537
2.8	2.8		2.8	0.9426758241	0.9926315202
2.9	2.9		2.9	0.9478464369	0.9939631674
3	3		3	0.956781212	0.9942321

