episodes	Transfer	No-Transfer
0	0.9914651381	0.9914651381
1	1.0325365624	1.0325365624
2	1.0964946454	1.0964946454
3	1.1569860668	1.1569860668
4	1.1934952518	1.1934952518
5	1.2052205725	1.2052205725
6	1.2203217694	1.2203217694
7	1.3003078666	1.3003078666
8	1.5389759299	1.5389759299
9	2.0515361276	2.0515361276
10	2.9520274128	2.9520274128
11	4.3178636801	4.3178636801
12	6.1453666464	6.1453666464
13	8.3194259361	8.3194259361
14	10.6139908936	10.6139908936
15	12.7439677213	12.7439677213
16	14.4554289352	14.4554289352
17	15.6183644429	15.6183644429
18	16.275623066	16.275623066
19	16.6228997063	16.6228997063
20	16.9301448075	16.9301448075
21	17.4444435499	17.4444435499
22	18.314881536	10.6139908936
23	19.5680053152	12.7439677213
24	21.125637871	14.4554289352
25	22.8525313221	15.6183644429
26	24.6043615987	16.275623066
27	26.2638686213	16.6228997063
28	27.7536918288	16.9301448075
29	29.0350096151	17.4444435499
30	30.0944393584	10.6139908936
31	30.9304373089	12.7439677213
32	31.5429506464	14.4554289352
33	31.9328922531	15.6183644429
34	32.1128696703	16.275623066
35	32.1191909777	16.6228997063
36	32.0245248153	16.9301448075
37	31.9398298762	17.4444435499
38	31.9999515532	22.7083278789
39	32.3338849092	22.6056483384
40	33.0216439002	24.8518694461
41	34.0668405005	25.8964989787
42	35.4057194222	26.8957716204
43	36.9581253578	27.8723935968
44	38.688694451	28.8564916907
45	40.6285678182	29.9001576727
46	42.8371987348	31.0912574211
47	45.3293345793	32.5463690259
48	48.0214776811	34.3630444371
49	50.7480564715	36.5508109064
50	53.3348523068	38.9968835451
51	55.677562169	41.5066163257
52	57.7762837894	43.9094123848
53	59.7109648295	46.1628399752
54	61.5929448847	48.3784888871
55	63.5271648584	50.7394688816
56	65.6002857467	53.3552449403
57	67.8748244983	56.1274664365
58	70.3701084041	58.7350636408
59	73.0326901087	60.754088637
60	75.7441302131	61.8596824631
61	78.3699879806	61.9957640224
62	80.8505904951	61.4057720116
63	83.2578754355	60.4922583437
64	85.7744585977	59.5924515979
65	88.5936224886	58.8356902163
66	91.7961828148	58.1744581882
67	95.2752749373	57.5627609096
68	98.7528526554	57.1075336822
69	101.8669674111	57.0592407654
70	104.2967077663	57.6442051615
71	105.8626972008	58.8900755132
72	106.5770909353	60.5809758474
73	106.6322435051	62.368608289
74	106.3520912744	63.9468450046
75	106.1089638607	65.156493732
76	106.2409463612	65.9843623474
77	106.97247351	66.4906071113
78	108.3886480863	66.7493015108
79	110.4565109927	66.8360757492
80	113.0779679543	66.8415985372
81	116.1233815214	66.8729761403
82	119.4279002339	67.034232648
83	122.7764849771	67.3922778884
84	125.928641034	67.9594092861
85	128.6875603475	68.7222103535
86	130.9896793804	69.706996696
87	132.925014317	71.0389236861
88	134.6753946981	72.9548421596
89	136.4069886781	75.7191017528
90	138.1983496355	76.9611218789
91	140.0438255844	77.5037996223
92	141.8982289206	78.2535223156
93	143.7096374184	79.0255782574
94	145.4223500229	79.6345472076
95	146.9687990986	79.971720526
96	148.2964565242	80.0555440353
97	149.4279440829	80.018016242
98	150.4855997014	80.0343653126
99	151.6553908425	80.2359955023
100	153.1102132248	91.6564645878
