episodes,Transfer,No-Transfer
0,-273.7438642357,-435.9335011857
1,-268.897180091,-434.2598847251
2,-259.816411596,-431.3342237366
3,-247.5820880203,-427.8601952878
4,-233.5328202388,-424.605283894
5,-218.9845258201,-422.1321526764
6,-205.0455759715,-420.6169255135
7,-192.4965726379,-419.7840994534
8,-181.7622971703,-418.9977879915
9,-172.9893859318,-417.4856715975
10,-166.1403714629,-414.5921337842
11,-161.0866473511,-410.0136758527
12,-157.6693946179,-403.8664820843
13,-155.7289218242,-396.5918797995
14,-155.08195862,-388.762431555
15,-155.4959151718,-380.8425083131
16,-156.651399023,-373.0670077351
17,-158.1384675551,-365.4399493461
18,-159.4814266428,-357.8972223328
19,-160.2140150403,-350.488387717
20,-159.9567558805,-343.4807147559
21,-158.5052271951,-337.3150177637
22,-155.8857989425,-332.4026010527
23,-152.3406398764,-328.8707029133
24,-148.2746288452,-326.3627161116
25,-144.1730397921,-324.0247049712
26,-140.5179721655,-320.7065836554
27,-137.7190583384,-315.2833458163
28,-136.0826605874,-307.0046823656
29,-135.7600045883,-295.7226265981
30,-136.7272710849,-281.9112566275
31,-138.762608927,-266.5136840135
32,-141.4245202851,-250.6694545972
33,-144.129724924,-235.4396108001
34,-146.2464325258,-221.625125375
35,-147.2416192198,-209.6921657495
36,-146.8227321556,-199.8131808329
37,-145.0138589197,-191.9523599849
38,-142.1468763426,-185.981982706
39,-138.7670556642,-181.7416687491
40,-135.4944735364,-179.0772825964
41,-132.8797562531,-177.8410373766
42,-131.2999963508,-177.8707205629
43,-130.9194485823,-178.9718480539
44,-131.6980180217,-180.9014648456
45,-133.4467213585,-183.3823352312
46,-135.878901806,-186.1083847875
47,-138.685146092,-188.7720390714
48,-141.5581029776,-191.0877959082
49,-144.2200904464,-192.832532544
50,-146.4198377513,-193.896263572
51,-147.9591301421,-194.2872891072
52,-148.7041015894,-194.1612069219
53,-148.650879096,-193.7786234564
54,-147.9615404546,-193.4483670258
55,-146.9863237936,-193.4452231285
56,-146.2405609854,-193.9775491572
57,-146.2804924628,-195.1384385189
58,-147.5639319511,-196.9302060182
59,-150.2699213729,-199.2783663708
60,-154.18939622,-202.0413178695
61,-158.7168352105,-205.0126046911
62,-162.9719956616,-207.9517635887
63,-166.0446393414,-210.6220951883
64,-167.2537369499,-212.8639916632
65,-166.3661954703,-214.6530969759
66,-163.6359835837,-216.1206289471
67,-159.7030274791,-217.4783745943
68,-155.3597013398,-218.9103796882
69,-151.2907431572,-220.4582369144
70,-147.8995565436,-221.9563559396
71,-145.2683364505,-223.1006786959
72,-143.2163795936,-223.5478022046
73,-141.4464581466,-223.069203015
74,-139.6618703896,-221.6173112594
75,-137.6395156182,-219.3372647832
76,-135.2493341961,-216.5209218351
77,-132.438887734,-213.5003891207
78,-129.2229735276,-210.6260474833
79,-125.682580881,-208.2283617335
80,-121.9668475057,-206.6496216002
81,-118.3006888207,-206.2422993727
82,-114.9542921008,-207.2922489784
83,-112.2249957909,-209.9637705013
84,-110.3761375637,-214.1828273788
85,-109.6232253087,-219.5749763391
86,-110.1026584898,-225.4909211888
87,-111.8675770303,-231.1060893134
88,-114.8985110235,-235.5866850989
89,-119.0954192346,-238.2949068935
90,-124.2854589933,-238.958482201
91,-130.191541045,-237.729796723
92,-136.4270198121,-235.1555780506
93,-142.5198753548,-232.0430574764
94,-147.9403135253,-229.235694263
95,-152.2256744903,-227.3952771267
96,-155.0628101522,-226.8486812758
97,-156.3981784621,-227.511606521
98,-156.4496898335,-228.9265564725
99,-155.6582020309,-230.4106339186
100,-154.5769114282,-231.2347360672
101,-153.7281495564,-230.8068781117
102,-153.4900625703,-228.7997457589
103,-154.0268197741,-225.2060282125
104,-155.2742458673,-220.2759561938
105,-156.9716742482,-214.4326353285
106,-158.7095386533,-208.1383902765
107,-160.0295527823,-201.8156797001
108,-160.5189917978,-195.7939918206
109,-159.9202109901,-190.3059303496
110,-158.2110699529,-185.5423184134
111,-155.6405076916,-181.631199173
112,-152.69588557,-178.672666652
113,-150.0083941702,-176.66779104
114,-148.2210077849,-175.5167412197
115,-147.8305163948,-175.027910275
