episodes	Transfer	No-Transfer
0	10.34264548	0.34264548
1	10.9063908146	0.9063908146
2	11.48700116	1.48700116
3	11.989294404	1.989294404
4	12.32537509	2.32537509
5	12.4402161479	2.4402161479
6	12.3316834427	2.3316834427
7	12.0586966403	2.0586966403
8	11.7289124439	1.7289124439
9	11.4680157767	1.4680157767
10	11.3782874157	1.3782874157
11	11.5052867125	1.5052867125
12	11.8319838399	1.8319838399
13	12.3022764934	2.3022764934
14	12.8584976134	2.8584976134
15	13.4633518065	3.4633518065
16	14.0919817362	4.0919817362
17	14.7065851202	4.7065851202
18	15.24840025	5.24840025
19	15.6557516012	5.6557516012
20	15.8868520166	5.8868520166
21	15.92669651	5.92669651
22	15.7728602828	5.7728602828
23	15.4287017928	5.4287017928
24	14.9206160886	4.9206160886
25	14.3221683621	4.3221683621
26	13.7547167981	3.7547167981
27	13.3520594874	3.3520594874
28	13.214253655	3.214253655
29	13.380355088	3.380355088
30	13.8256905283	3.8256905283
31	14.4797522335	4.4797522335
32	15.2410124887	5.2410124887
33	15.9953386556	5.9953386556
34	16.6410352278	6.640352278
35	17.1192854579	7.1192854579
36	17.4407247485	4.4407247485
37	17.6663086991	7.6663086991
38	17.8646284923	7.8646284923
39	18.060243921	8.060243921
40	18.2171849682	8.2171849682
41	14.2116840191	11.2116840191
42	15.6660204914	5.6660204914
43	17.077467008	7.077467008
44	18.0612982622	12.0612982622
45	18.3096844985	8.3096844985
46	17.7506047999	9.7506047999
47	16.6285540728	11.6285540728
48	15.4320070447	12.4320070447
49	14.6806329349	12.6806329349
50	14.6760837439	11.6760837439
51	15.358417282	15.358417282
52	16.3598713252	16.3598713252
53	18.2252889704	17.2252889704
54	17.6670331879	18.6670331879
55	17.7109381263	17.7109381263
56	18.65532869	17.65532869
57	17.8939922418	18.8939922418
58	18.699295114	18.699295114
59	20.0778976802	20.0778976802
60	21.750437929	20.750437929
61	23.2574568226	23.2574568226
62	23.1401185421	24.1401185421
63	23.1163213175	24.1163213175
64	23.1823972155	23.1823972155
65	21.604279958	21.604279958
66	21.806198441	19.806198441
67	19.2245433997	20.2245433997
68	17.1960568794	17.1960568794
69	16.9157539651	16.9157539651
70	17.4459857474	17.4459857474
71	18.7339722712	18.7339722712
72	21.6213089724	20.6213089724
73	22.8486516464	22.8486516464
74	25.0813346427	25.0813346427
75	26.9815667763	26.9815667763
76	28.3043969744	28.3043969744
77	28.9873268629	28.9873268629
78	29.1794296065	30.1794296065
79	29.1757572154	29.1757572154
80	29.2795126823	29.2795126823
81	29.6570056721	29.6570056721
82	30.2702757204	30.2702757204
83	30.9230739358	30.9230739358
84	31.3884065337	31.3884065337
85	31.5358509076	31.5358509076
86	31.3837905681	31.3837905681
87	31.0642800134	31.0642800134
88	30.7568956741	30.7568956741
89	30.6259797179	30.6259797179
90	30.773170211	30.773170211
91	31.1891892868	31.1891892868
92	31.7235910657	31.7235910657
93	32.1080815539	32.1080815539
94	32.059598772	32.059598772
95	31.4266082811	31.4266082811
96	32.2922297316	32.2922297316
97	32.9605979187	32.9605979187
98	32.8258669849	32.8258669849
99	32.1782778473	32.1782778473
100	32.0550505505	32.0550505505
