episodes,Transfer,No-Transfer
0,0.3882203077,0.9840864274
1,1.1252347956,0.9881278238
2,1.7297192537,0.9617558227
3,2.1450562291,0.9344700993
4,2.359202427,0.9149123571
5,2.4055012654,0.9044592029
6,2.3488468066,0.9164422191
7,2.2648966278,0.9808790251
8,2.2216668278,1.1292024132
9,2.2666767341,1.3656218951
10,2.4220144984,1.6516610464
11,2.684991082,1.9150225588
12,3.0340544718,2.0825403142
13,3.4390743623,2.1129964148
14,3.871466,2.0103894093
15,4.3114855192,1.8096041234
16,4.7477923038,1.5494097788
17,5.1666524095,1.2536396799
18,5.5362146564,0.9323860815
19,5.8001127361,0.6020781018
20,5.8926650596,0.3065924944
21,5.7744947276,0.1218034414
22,5.4693512763,0.1329064839
23,5.0729724359,0.3931434262
24,4.722604961,0.8906531439
25,4.542590409,1.5434676846
26,4.5979647715,2.2289202289
27,4.8815749684,2.8358864042
28,5.3322043149,3.3069457267
29,5.8675632499,3.653053647
30,6.4110759967,3.9347580677
31,6.9062333665,4.2214368593
32,7.3191037444,4.5516349242
33,7.6365689026,4.9107588452
34,7.8636133889,5.234086592
35,8.0198240233,5.4339828361
36,8.1340873362,5.4411093316
37,8.2338772739,5.2387690038
38,8.3352817892,4.8757186009
39,8.4363449323,4.4443078965
40,8.5198418314,4.040455842
41,8.5666074719,3.7287132768
42,8.5721820057,3.5340138958
43,8.5561973758,3.4583676153
44,8.5567229307,3.5008039763
45,8.6124213656,3.6602568684
46,8.7433237129,3.9172362075
47,8.9460407808,4.2187904797
48,9.2024638938,4.4866580383
49,9.4957700776,4.6506874431
50,9.8157680239,4.6885512441
51,10.1507589802,4.6425495433
52,10.4748151259,4.5998912108
53,10.7476279654,4.6496347684
54,10.9317289879,4.8377344435
55,11.0196042727,5.1441501274
56,11.0451589686,5.4915667237
57,11.071288888,5.779472724
58,11.1560233096,5.925074571
59,11.320888222,5.8911793211
60,11.5387300827,5.6921121892
61,11.7488281349,5.3825330758
62,11.886126288,5.0399146425
63,14.0184681559,4.7483896779
64,14.1129640743,4.5821344373
65,14.2376591406,4.587526833
66,14.4020484164,4.7666569426
67,14.5886826349,5.073856978
68,14.7542037286,5.4313373563
69,14.8487212069,5.7562127592
70,14.8450858443,5.9843668349
71,14.7602069341,6.0824991552
72,14.6505004855,6.0499781492
73,14.5832328963,5.9177214741
74,14.600685717,5.7457035643
75,14.7002320997,5.6126410296
76,14.842800434,5.5952121511
77,14.9801595514,5.7452683711
78,15.0784691579,15.0784691579
79,15.1257221441,15.1257221441
80,15.123730643,15.123730643
81,15.0780237464,15.0780237464
82,14.9941837048,14.9941837048
83,14.8801309241,14.8801309241
84,14.7475051818,14.7475051818
85,14.6109502172,14.6109502172
86,14.4862409308,14.4862409308
87,14.3916737016,14.3916737016
88,14.3491150223,15.2534698215
89,14.3823002761,14.2841216753
90,14.5100448893,14.3054681429
91,14.7394363727,14.3343940491
92,15.0610803696,15.3645032801
93,15.4475826308,14.3697186234
94,15.6753316091,15.3191805637
95,15.6685264905,15.1962207497
96,15.6871303474,15.0091531537
97,15.7190766715,15.7916748224
98,15.6188682824,15.5922433527
99,15.4790363941,15.4555325744
100,15.2652676656,15.4041346307
