episodes	No-Transfer	Transfer
0	19.4713385531	19.5
1	19.5665653864	19.5
2	19.7308957676	18.5
3	19.9197721609	20
4	20.0819464279	21
5	20.171746936	19.5
6	20.1604951669	20
7	20.0400486514	19.5
8	19.8221314451	19
9	19.5307786639	20
10	19.1949941359	18
11	18.8413475469	20
12	18.4905539965	20
13	18.1586779583	23.5
14	17.856455585	19.5
15	17.5927027294	26
16	17.374179492	25.5
17	17.2021582796	125.5
18	17.0700553966	54.5
19	16.963173937	42.5
20	16.8588723658	46
21	16.7329893852	113.5
22	16.5673680938	114
23	16.3534593357	109.5
24	16.0969488809	110.5
25	15.8150757328	108
26	15.5307133889	109.5
27	15.2667044542	111.5
28	15.0399316554	169
29	14.8593618629	180
30	14.7256278938	112.5
31	14.6327966639	200
32	14.5695628816	200
33	14.5204740722	200
34	14.4690716271	200
35	14.3982592783	200
36	14.2954307303	200
37	14.1551952297	200
38	13.981245251	200
39	13.7849576649	200
40	13.5821947011	200
41	13.3866300933	200
42	13.2060983309	200
43	13.0404631842	200
44	12.8833543512	200
45	12.7264728225	200
46	12.5647589193	200
47	12.399403953	200
48	12.2388680988	200
49	12.0973218264	200
50	11.9908854635	200
51	11.9340316917	200
52	11.9356317578	200
53	11.9969245093	200
54	12.1107159874	200
55	12.2616854168	200
56	12.4292782506	200
57	12.59090235	200
58	12.7257747604	200
59	12.8186264272	200
60	12.861071074	200
61	12.8515877507	200
62	12.7942752287	200
63	12.6964916403	200
64	12.5663153956	200
65	12.4112551257	200
66	12.2378371691	200
67	12.0518012705	200
68	11.8585348425	200
69	11.6638137741	200
70	11.472859615	200
71	11.2910748048	200
72	11.1231842651	200
73	10.9736262393	200
74	10.8475728016	200
75	10.7514912088	200
76	10.69375667	200
77	10.683819183	200
78	10.7297636054	200
79	10.8346866842	200
80	10.9938539558	200
81	11.191807424	200
82	11.4037449124	200
83	11.59921136	200
84	11.7491220585	200
85	11.8326893628	200
86	11.8428070674	200
87	11.7879840259	200
88	11.6899163309	200
89	11.5772790434	200
90	11.4787090589	200
91	11.4168435651	200
92	11.404240918	200
93	11.4427638444	200
94	11.5244479761	200
95	11.6335633697	200
96	11.7495455537	200
97	11.8494896124	200
98	11.9111896783	200
99	11.9173256993	200
100	11.8590884296	200
101	11.7393929305	200
102	11.5725681863	200
103	11.3819911807	200
104	11.1933500052	200
105	11.0282078423	200
106	10.8985403861	200
107	10.8064304008	200
108	10.743295047	200
109	10.6988687258	200
110	10.6687095395	200
111	10.6584445347	200
112	10.6932831422	200
113	10.8173986717	200
114	11.0981521229	200
115	11.6215500129	200
116	12.4887277035	200
117	13.8026815669	200
118	15.6510127653	200
119	18.0821468149	200
120	21.0873579688	200
121	24.5886451113	200
122	28.4451004996	200
123	32.4749007521	200
124	36.4900555935	200
125	40.3287195061	200
126	43.8777382048	200
127	47.0776298062	200
128	49.9130297102	200
129	52.392639307	200
130	54.5346060394	200
131	56.3550500564	200
132	57.8616633758	200
133	59.0634350616	200
134	59.9748776943	200
135	60.6269462448	200
136	61.0782109204	200
137	61.4286724511	189.5
138	61.8243510785	200
139	62.4493548392	200
140	63.508084415	200
141	65.1952056369	200
142	67.6675638653	200
143	71.0244346269	200
144	75.3085485697	200
145	80.5062907414	200
146	86.5648025423	200
147	93.3860315573	200
148	100.825362566	200
149	108.6668761902	200
150	116.6269452428	200
151	124.3638914696	200
152	131.5174665961	200
153	137.7550168014	200
154	142.8367353324	200
155	146.6462797185	200
156	149.2110664657	200
157	150.6817999663	200
158	151.3010475743	200
159	151.3525471465	200
160	151.1125445221	200
161	150.8097807125	200
162	150.6052969219	200
163	150.5867147872	200
164	150.7806002397	200
165	151.17184529	200
166	151.7128391933	200
167	152.3461708111	200
168	153.0030390026	200
169	153.6125320302	200
170	154.1066882216	200
171	154.4358743743	200
172	154.5924844814	193
173	154.6229571366	200
174	154.628372839	200
175	154.7388669639	200
176	155.081316601	200
177	155.7275043625	188.5
178	156.6700252073	159
179	157.8029427243	178
180	158.9476656758	200
181	159.8769703751	200
182	160.367761384	131
183	160.2239457078	200
184	159.316898963	187
185	157.6001866071	200
186	155.1341241448	200
187	152.082916056	200
188	148.7168030374	200
189	145.3664030801	200
190	142.3695041296	200
191	139.9946985888	200
192	138.3852439442	200
193	137.5364475057	200
194	137.3268543196	200
195	137.58564383	200
196	138.1810968039	200
197	139.0896732161	200
198	140.4170649229	200
199	142.3655139286	200
200	145.1514541166	200
201	148.919034041	200
202	153.6612764796	200
203	159.19567663	200
204	165.1891711707	198.5
205	171.2316396862	197
206	176.9209220936	200
207	181.9458628587	200
208	186.1249504509	200
209	189.4112641333	200
210	191.8542553028	200
211	193.5477914714	200
212	194.5894113354	200
213	195.0494579731	200
214	194.9768455262	200
215	194.41135452	200
216	193.4182046244	200
217	192.0996377644	200
218	190.6079531182	200
219	189.1270501051	200
220	187.8504728442	200
221	186.9451826886	200
222	200.5247661494	200
223	200.6269020887	200
224	200.2098076909	200
225	200.1656170254	200
226	200.348524079	200
227	200.6084409305	200
228	200.8267664265	200
229	200.9347823042	200
230	200.9161902205	200
231	200.7927951129	200
232	200.5997068275	200
233	200.3632650623	200
234	200.0890736127	200
235	200.7628204213	200
236	200.3602232455	200
237	200.860254561	200
238	200.2499261908	200
239	200.5343169133	200
240	200.7276438186	200
241	200.8510041733	200
242	200.9227019834	200
243	200.9623279554	200
244	200.9827524812	200
245	200.9925819346	200
246	200.9970028306	200
247	200.9988624028	200
248	200	200
249	200	200

