baseline	ticket	random_mask
81.29	81.5	81.51
81.29	81.21	81.32
81.29	81.01	81.13
81.29	80.985	82.37
81.29	81.25	78.17
81.29	80.71	81.08
81.29	80.625	76.655
81.29	80.545	80.095
81.29	80.395	73.56
81.29	81.395	81.12
81.29	80.315	69.61
81.29	80.07	52.84
81.29	80.43	61.84
81.29	80.41	54.84
81.29	80.245	53.34
81.29	80.64	49.84
81.29	80.87	36.34
81.29	81.065	42.84
81.29	81.77	33.84
81.29	81.895	22.37
81.29	81.8	20.37
81.29	81.775	31.34
81.29	81.36	13.37
81.29	80.635	10.0
81.29	79.345	10.0
81.29	77.635	10.0
81.29	71.01	10.0
81.29	27.015	10.0
81.29	10.0	10.0
81.29	10.0	10.0
81.29	10.0	10.0
