pruning_stages	baseline	winning_ticket	similar_source	cifar10	cifar100	fahion_mnist
0.000	45.88	51.4164305949	58.7818696884	65.5807365439	70.821529745	62.4645892351
1.000	45.88	54.8158640227	58.3569405099	63.88101983	65.2974504249	64.0226628895
2.000	45.88	55.2407932011	58.0736543909	66.4305949008	64.5892351275	59.7733711048
3.000	45.88	56.0906515581	57.9320113314	67.2804532578	67.1388101983	62.4645892351
4.000	45.88	56.2322946176	58.6402266289	65.8640226629	65.0141643059	59.3484419263
5.000	45.88	57.3654390935	57.9320113314	65.8640226629	66.9971671388	62.3229461756
6.000	45.88	56.940509915	58.2152974504	66.1473087819	65.1558073654	59.9150141643
7.000	45.88	59.3484419263	61.3314447592	64.164305949	67.1388101983	60.9065155807
8.000	45.88	59.2067988669	61.8980169972	63.7393767705	65.8640226629	61.3314447592
9.000	45.88	58.4985835694	61.1898016997	66.2889518414	67.7053824363	62.7478753541
10.000	45.88	59.6317280453	61.1898016997	67.2804532578	66.5722379603	63.597733711
11.000	45.88	59.9150141643	62.0396600567	67.2804532578	69.4050991501	62.1813031161
12.000	45.88	59.6317280453	63.7393767705	66.8555240793	71.2464589235	64.3059490085
13.000	45.88	58.7818696884	63.4560906516	68.6968838527	71.388101983	62.8895184136
14.000	45.88	59.6317280453	64.730878187	66.9971671388	69.4050991501	62.8895184136
15.000	45.88	59.7733711048	63.3144475921	69.4050991501	68.8385269122	61.7563739377
16.000	45.88	56.7988668555	63.4560906516	70.1133144476	72.2379603399	63.7393767705
17.000	45.88	54.5325779037	60.7648725212	69.1218130312	70.2549575071	64.5892351275
18.000	45.88	52.8328611898	59.9150141643	71.671388102	70.1133144476	67.1388101983
19.000	45.88	49.5750708215	60.6232294618	69.4050991501	72.5212464589	65.8640226629
20.000	45.88	50.4249291785	61.0481586402	70.821529745	74.6458923513	66.4305949008
21.000	45.88	45.6090651558	58.4985835694	70.2549575071	72.9461756374	67.7053824363
22.000	45.88	43.059490085	56.3739376771	69.5467422096	68.5552407932	68.9801699717
23.000	45.88	40.9348441926	54.5325779037	70.9631728045	69.1218130312	67.5637393768
24.000	45.88	35.6940509915	49.2917847025	67.4220963173	69.4050991501	66.8555240793
25.000	45.88	30.4532577904	46.7422096317	68.5552407932	69.8300283286	64.164305949
26.000	45.88	25.2124645892	43.4844192635	67.9886685552	71.954674221	64.730878187
27.000	45.88	18.6968838527	31.3031161473	66.7138810198	71.104815864	65.5807365439
28.000	45.88	14.8725212465	26.6288951841	66.1473087819	70.2549575071	64.5892351275
29.000	45.88	10.3399433428	22.3796033994	57.6487252125	68.5552407932	64.0226628895
30.000	45.88	7.36543909348	18.8385269122	42.209631728	66.4305949008	59.3484419263
