baseline	winning_ticket	random_mask	cifar10	cifar100	fahion_mnist
71.85	74.8301808407	73.5105327468	76.4907135875	76.9794721408	77.2238514174
71.85	77.8103616813	78.1524926686	75.7086999022	74.4379276637	73.5581622678
71.85	80.1075268817	77.8592375367	76.3929618768	74.4379276637	73.8514173998
71.85	78.7878787879	78.2502443793	77.8592375367	71.2121212121	71.3587487781
71.85	80.596285435	78.1524926686	77.908113392	73.0694037146	75.9042033236
71.85	78.1524926686	79.1300097752	76.1974584555	73.9002932551	74.0957966764
71.85	79.8142717498	78.0058651026	77.5659824047	72.091886608	73.5581622678
71.85	78.8856304985	78.3479960899	78.1524926686	75.9042033236	73.3626588465
71.85	81.7204301075	77.8592375367	78.6901270772	72.238514174	74.5356793744
71.85	80.8406647116	78.1036168133	78.5434995112	75.2688172043	77.3216031281
71.85	79.8142717498	79.2766373412	77.0772238514	74.5356793744	73.0694037146
71.85	80.6940371457	77.468230694	77.468230694	71.4076246334	75.2688172043
71.85	80.2052785924	77.3216031281	77.7126099707	74.0469208211	72.091886608
71.85	80.889540567	79.3255131965	79.1788856305	74.4868035191	73.1671554252
71.85	79.6187683284	76.9305962854	78.5434995112	73.5092864125	74.9755620723
71.85	79.2766373412	79.8142717498	78.3968719453	73.2160312805	75.1710654936
71.85	81.5738025415	77.5171065494	77.761485826	72.7272727273	75.0244379277
71.85	78.6412512219	79.3255131965	76.5395894428	74.1446725318	73.3137829912
71.85	79.2277614858	78.6412512219	74.5356793744	71.7986314761	70.6256109482
71.85	79.2277614858	77.3216031281	74.1446725318	72.8739002933	72.7761485826
71.85	79.6187683284	77.761485826	75.5131964809	73.7047898338	73.6070381232
71.85	78.2991202346	78.7390029326	76.2952101662	72.2873900293	72.531769306
71.85	78.4946236559	78.1036168133	74.2913000978	68.6705767351	69.696969697
71.85	79.6676441838	77.761485826	72.4340175953	71.0654936461	70.4301075269
71.85	78.0058651026	73.6916888661	71.7986314761	68.3773216031	69.3059628543
71.85	78.1036168133	70.1079921575	69.550342131	70.1857282502	68.1818181818
71.85	76.4907135875	66.9188029042	69.843597263	66.8132942326	68.6705767351
71.85	75.4643206256	64.1563893976	66.1290322581	66.5200391007	66.0801564027
71.85	74.633431085	60.8477503767	67.7419354839	65.4447702835	67.2043010753
71.85	71.4565004888	49.5769781382	62.5610948192	62.8543499511	65.8846529814
71.85	69.3059628543	47.6708197804	60.752688172	60.8504398827	65.3470185728
