pruning_stages	baseline	100	75	50	25
0.000	84.75	85.125	82.4887387387	82.0945945946	77.9842342342
1.000	84.75	88.1756756757	85.5855855856	83.7837837838	80.6869369369
2.000	84.75	87.9504504505	86.8243243243	85.1351351351	81.5878378378
3.000	84.75	88.8513513514	86.6554054054	85.5855855856	83.1081081081
4.000	84.75	88.2882882883	87.6689189189	85.9797297297	83.9527027027
5.000	84.75	88.7387387387	87.7252252252	85.4166666667	84.1779279279
6.000	84.75	88.795045045	88.231981982	86.8806306306	85.8108108108
7.000	84.75	89.8085585586	88.4572072072	86.768018018	84.8536036036
8.000	84.75	89.1891891892	87.6126126126	86.5990990991	85.5855855856
9.000	84.75	88.963963964	87.5563063063	87.6126126126	86.3738738739
10.000	84.75	89.6396396396	88.3445945946	87.2184684685	84.5720720721
11.000	84.75	89.7522522523	88.4572072072	87.7815315315	85.8671171171
12.000	84.75	89.6959459459	88.6261261261	87.5	86.2612612613
13.000	84.75	90.0337837838	88.3445945946	87.6126126126	85.6418918919
14.000	84.75	90.4279279279	89.2454954955	87.0495495495	85.472972973
15.000	84.75	90.4842342342	88.1756756757	87.5563063063	86.3738738739
16.000	84.75	89.4707207207	88.1756756757	88.0067567568	86.3738738739
17.000	84.75	89.3581081081	89.5833333333	87.2747747748	86.8806306306
18.000	84.75	89.3018018018	88.5135135135	87.3873873874	86.5427927928
19.000	84.75	89.6959459459	88.6261261261	88.4009009009	86.8806306306
20.000	84.75	89.527027027	88.8513513514	87.6126126126	87.4436936937
21.000	84.75	88.8513513514	89.0202702703	87.5563063063	87.5563063063
22.000	84.75	90.0900900901	88.795045045	88.0067567568	86.8806306306
23.000	84.75	88.6261261261	88.5135135135	87.2747747748	86.5427927928
24.000	84.75	88.0067567568	89.1328828829	88.0630630631	86.7117117117
25.000	84.75	86.768018018	88.6261261261	87.5	87.4436936937
26.000	84.75	86.204954955	88.231981982	87.2184684685	86.204954955
27.000	84.75	85.0225225225	88.7387387387	87.1621621622	86.4301801802
28.000	84.75	85.1351351351	88.1756756757	87.5	86.7117117117
29.000	84.75	84.9099099099	87.2184684685	87.1058558559	85.6981981982
30.000	84.75	84.3468468468	88.231981982	87.5563063063	86.0923423423
