baseline	ticket	random_weights
97.29	97.155	97.24
97.29	97.145	97.18
97.29	97.24	97.205
97.29	97.17	97.085
97.29	97.09	97.145
97.29	97.235	97.18
97.29	97.275	97.155
97.29	97.17	97.17
97.29	97.12	97.06
97.29	97.165	97.055
97.29	97.145	97.02
97.29	97.075	97.035
97.29	97.06	96.995
97.29	97.095	97.06
97.29	97.075	96.99
97.29	97.005	96.945
97.29	97.09	96.925
97.29	97.005	96.985
97.29	97.025	96.895
97.29	96.93	96.88
97.29	96.745	96.6
97.29	96.61	96.41
97.29	96.435	95.98
97.29	96.16	95.695
97.29	95.975	95.31
97.29	95.575	93.13499975
97.29	95.015	92.64499975
97.29	94.595	91.12999975
97.29	93.845	90.52999975
97.29	93.19	84.23499975
97.29	92.64	79.64499975
