pruning_stages	baseline	winning_ticket	random_mask	cifar10	cifar100	fahion_mnist
10.000	48.47	65.7908992416	50.0270855905	70.7704910567	57.4214517876	40.7096424702
11.000	48.47	65.3575297941	50.3250270856	70.8317844506	52.7085590466	47.3997833153
12.000	48.47	68.2015167931	49.6478873239	73.1053324988	56.1213434453	41.4680390033
13.000	48.47	65.2491874323	49.8645720477	73.1295586134	56.3651137595	50.0541711809
14.000	48.47	67.5514626219	53.141928494	72.9020979021	51.7876489707	50.812567714
15.000	48.47	64.8970747562	31.9423715288	73.4262821837	51.570964247	46.6955579632
16.000	48.47	67.1993499458	44.6912242687	74.201173656	53.3044420368	44.5557963164
17.000	48.47	67.7139761647	46.6684723727	68.8710312858	57.150595883	42.3889490791
18.000	48.47	65.059588299	48.8894907909	68.3633419435	52.1939328277	46.045503792
19.000	48.47	65.9263271939	44.6912242687	69.3221135974	55.7421451788	41.9555796316
20.000	48.47	57.4756229686	32.450497206	68.1672295598	54.9566630553	43.0390032503
21.000	48.47	54.9837486457	39.5991332611	71.4789791459	52.383531961	39.301191766
22.000	48.47	45.0433369447	33.8028169014	68.8339640066	47.0205850488	43.9599133261
23.000	48.47	48.2665222102	41.0888407367	63.7034024585	44.7453954496	36.1321776815
24.000	48.47	50.5417118093	38.9490790899	59.0412124601	50.0812567714	45.232936078
25.000	48.47	42.4702058505	37.0801733478	60.9673341954	50.2166847237	41.9014084507
26.000	48.47	38.6240520043	41.684723727	57.0474694168	49.2686890574	42.2264355363
27.000	48.47	37.676056338	24.4853737811	54.4588759718	43.8244853738	45.5850487541
28.000	48.47	29.9295774648	17.7681473456	49.8327206642	43.8515709642	34.1549295775
29.000	48.47	23.6728060672	12.3510292524	38.1403240104	36.9447453954	43.9869989166
30.000	48.47	12.3510292524	12.3510292524	37.6515654571	44.2578548212	35.0758396533
