pruning_stages	baseline	winning_ticket	random_mask	cifar10	cifar100	fahion_mnist
0.000	41.36	38.8392857143	43.0014285714	55.9523809524	59.5238095238	58.3333333333
11.000	41.36	48.3630952381	48.3630952381	56.6964285714	55.9523809524	55.9523809524
12.000	41.36	49.255952381	51.0416666667	56.1011904762	60.5654761905	54.9107142857
13.000	41.36	48.3630952381	49.5535714286	55.9523809524	57.2916666667	55.2083333333
14.000	41.36	47.4702380952	51.4880952381	57.1428571429	59.9702380952	54.4642857143
15.000	41.36	50.4464285714	48.5119047619	58.4821428571	58.1845238095	55.9523809524
16.000	41.36	49.4047619048	48.0654761905	55.6547619048	56.1011904762	56.5476190476
17.000	41.36	49.4047619048	41.1311121429	55.0595238095	59.9702380952	53.5714285714
18.000	41.36	46.4285714286	41.619207381	55.6547619048	55.505952381	56.994047619
19.000	41.36	45.3869047619	38.9287311905	57.7380952381	57.7380952381	56.8452380952
20.000	41.36	42.2619047619	36.4703978571	55.8035714286	55.6547619048	55.505952381
21.000	41.36	43.4523809524	40.3273809524	58.630952381	59.2261904762	54.4642857143
22.000	41.36	41.5178571429	35.119047619	56.5476190476	56.5476190476	58.0357142857
23.000	41.36	34.6726190476	33.0357142857	56.8452380952	57.2916666667	55.8035714286
24.000	41.36	28.7202380952	21.7261904762	55.8035714286	54.9107142857	58.9285714286
25.000	41.36	15.7738095238	20.2380952381	58.0357142857	57.7380952381	54.6130952381
26.000	41.36	15.7738095238	17.8571428571	57.5892857143	56.1011904762	54.7619047619
27.000	41.36	15.7738095238	15.7738095238	55.3571428571	55.2083333333	55.0595238095
28.000	41.36	15.7738095238	15.5669047619	56.3988095238	53.5714285714	55.6547619048
29.000	41.36	15.7738095238	15.7738095238	49.6176666905	49.1765988095	36.2511452381
30.000	41.36	15.7738095238	15.7738095238	45.6038571667	46.5492075	33.9535261905
