pruning_stages	baseline	ticket	random_mask
0.000	81.29	81.5	81.51
1.000	81.29	81.21	81.32
2.000	81.29	81.01	81.13
3.000	81.29	80.985	82.37
4.000	81.29	81.25	78.17
5.000	81.29	80.71	81.08
6.000	81.29	80.625	76.655
7.000	81.29	80.545	80.095
8.000	81.29	80.395	73.56
9.000	81.29	81.395	81.12
10.000	81.29	80.315	69.61
11.000	81.29	80.07	52.84
12.000	81.29	80.43	61.84
13.000	81.29	80.41	54.84
14.000	81.29	80.245	53.34
15.000	81.29	80.64	49.84
16.000	81.29	80.87	36.34
17.000	81.29	81.065	42.84
18.000	81.29	81.77	33.84
19.000	81.29	81.895	22.37
20.000	81.29	81.8	20.37
21.000	81.29	81.775	31.34
22.000	81.29	81.36	13.37
23.000	81.29	80.635	10.0
24.000	81.29	79.345	10.0
25.000	81.29	77.635	10.0
26.000	81.29	71.01	10.0
27.000	81.29	27.015	10.0
28.000	81.29	10.0	10.0
29.000	81.29	10.0	10.0
30.000	81.29	10.0	10.0
