pruning_stages	baseline	winning_ticket	similar_source	cifar10	cifar100	fahion_mnist
0.000	48.47	51.5980498375	64.4095341278	66.3074582543	55.8775731311	52.2751895991
1.000	48.47	55.4712892741	65.6825568797	68.3541545536	49.9729144095	40.4117009751
2.000	48.47	55.7150595883	62.676056338	68.9011616885	52.8981581798	45.0975081257
3.000	48.47	60.3737811484	64.9241603467	69.3640525762	46.5601300108	48.2665222102
4.000	48.47	61.8634886241	66.630552546	67.0298200966	45.8017334778	52.2210184182
5.000	48.47	60.292524377	67.3347778982	70.3572703232	49.7020585049	51.1375947996
6.000	48.47	62.9469122427	65.9804983749	69.4552910364	56.0942578548	46.1538461538
7.000	48.47	65.6013001083	67.2264355363	68.869813361	47.9414951246	35.7258938245
8.000	48.47	65.5471289274	66.1700975081	72.6772583769	51.8418201517	41.3867822319
9.000	48.47	65.6013001083	63.2448537378	72.4758506676	47.6435536295	35.9425785482
10.000	48.47	65.7908992416	65.1408450704	70.7704910567	57.4214517876	40.7096424702
11.000	48.47	65.3575297941	68.7703141928	70.8317844506	52.7085590466	47.3997833153
12.000	48.47	68.2015167931	63.4344528711	73.1053324988	56.1213434453	41.4680390033
13.000	48.47	65.2491874323	62.8114842904	73.1295586134	56.3651137595	50.0541711809
14.000	48.47	67.5514626219	66.4951245937	72.9020979021	51.7876489707	50.812567714
15.000	48.47	64.8970747562	66.27843987	73.4262821837	51.570964247	46.6955579632
16.000	48.47	67.1993499458	63.7323943662	74.201173656	53.3044420368	44.5557963164
17.000	48.47	67.7139761647	66.9826652221	68.8710312858	57.150595883	42.3889490791
18.000	48.47	65.059588299	66.630552546	68.3633419435	52.1939328277	46.045503792
19.000	48.47	65.9263271939	62.3510292524	69.3221135974	55.7421451788	41.9555796316
20.000	48.47	57.4756229686	60.4279523294	68.1672295598	54.9566630553	43.0390032503
21.000	48.47	54.9837486457	64.8429035753	71.4789791459	52.383531961	39.301191766
22.000	48.47	45.0433369447	66.7659804984	68.8339640066	47.0205850488	43.9599133261
23.000	48.47	48.2665222102	66.3867822319	63.7034024585	44.7453954496	36.1321776815
24.000	48.47	50.5417118093	66.2513542795	59.0412124601	50.0812567714	45.232936078
25.000	48.47	42.4702058505	66.27843987	60.9673341954	50.2166847237	41.9014084507
26.000	48.47	38.6240520043	62.6218851571	57.0474694168	49.2686890574	42.2264355363
27.000	48.47	37.676056338	61.5926327194	54.4588759718	43.8244853738	45.5850487541
28.000	48.47	29.9295774648	60.4279523294	49.8327206642	43.8515709642	34.1549295775
29.000	48.47	23.6728060672	59.6153846154	38.1403240104	36.9447453954	43.9869989166
30.000	48.47	12.3510292524	56.8526543879	37.6515654571	44.2578548212	35.0758396533
