episodes	DQV	DDQN	DQN
0	-554.314229249	-496.2917843027	-444.4159137963
1	-439.2326369283	-499.5028232637	-373.841520798
2	-342.8578858213	-498.8009153318	-317.984749423
3	-263.6786036237	-494.7561145948	-275.3496851483
4	-200.1834180312	-487.9384751404	-244.4404134513
5	-150.8609567397	-478.9180510565	-223.7610198091
6	-114.1998474447	-468.2648964308	-211.8155896989
7	-88.688717842	-456.5490653511	-207.1082085979
8	-72.8161956274	-444.3406119053	-208.1429619834
9	-65.0709084965	-432.209590181	-213.4239353324
10	-63.9414841451	-420.7260542661	-221.4552141223
11	-61.1104936254	-414.6337038248	-229.829846355
12	-67.4364171298	-413.6778358941	-239.8020594966
13	-83.9862700229	-415.0730630925	-239.2388035306
14	-90.1359921543	-412.3947368421	-228.3064727035
15	-89.8927754168	-407.0802549853	-218.8739784243
16	-91.8793723439	-404.7847335731	-211.0279503106
17	-98.9761359922	-399.2973193854	-206.1464530892
18	-104.4324942792	-402.2925792743	-205.233409611
19	-108.414187643	-407.1242236025	-203.1770186335
20	-111.9784243217	-414.519614253	-199.4617522066
21	-112.5083360575	-417.7925792743	-189.6688460281
22	-112.6319058516	-425.414187643	-172.9919908467
23	-116.2886564237	-415.0975809088	-167.0065380843
24	-117.1654135338	-403.3728342596	-165.3640078457
25	-117.8352402746	-402.6006864989	-166.2283425956
26	-118.6132723112	-395.7479568486	-169.501471069
27	-116.3383458647	-395.6273291925	-160.5591696633
28	-111.3059823472	-394.8542007192	-154.218372017
29	-104.8188950637	-407.896044459	-149.060313828
30	-93.4893756129	-401.984962406	-148.5062111801
31	-95.2866949984	-393.7531873161	-139.5263157895
32	-91.6632886564	-390.2587446878	-133.8617195162
33	-89.8257600523	-385.5233736515	-136.4339653482
34	-91.4083033671	-373.978914678	-132.3340961098
35	-89.1967963387	-362.5184700883	-131.3533834586
36	-90.483491337	-363.593331154	-132.0758417784
37	-95.3563255966	-374.0040863027	-133.7023537104
38	-97.3367113436	-378.8108859104	-130.6122915986
39	-99.206276561	-371.9043805165	-125.5715920235
40	-100.1304347826	-370.1029748284	-118.9761359922
41	-98.188296829	-353.751552795	-116.4181104936
42	-98.1771820856	-331.7763975155	-114.4656750572
43	-99.4145145472	-309.2453416149	-115.6270022883
44	-99.7384766263	-299.9614253024	-115.6384439359
45	-101.7152664269	-304.0122589081	-114.9539065054
46	-102.0594965675	-309.6028113763	-113.2917620137
47	-99.0905524681	-321.2922523701	-112.81627983
48	-95.8914677999	-316.2767244197	-114.4519450801
49	-92.8558352403	-320.3468453743	-115.8559986924
50	-89.0454396862	-295.3846028114	-110.0951291272
51	-94.9244851259	-297.0474011115	-109.2983000981
52	-93.1271657404	-303.0088264139	-106.4282445244
53	-92.498528931	-302.5289310232	-108.8741418764
54	-84.6900948022	-298.6384439359	-106.3269042171
55	-86.8947368421	-288.9812030075	-107.0560640732
56	-85.034651847	-281.018143184	-112.1608368748
57	-91.2873488068	-273.3736515201	-115.3774109186
58	-96.5456031383	-254.3074534161	-117.0799280811
59	-98.2984635502	-241.4596273292	-117.2374959137
60	-99.6237332462	-230.4105916966	-115.9682902909
61	-100.0415168356	-217.1319058516	-116.5325269696
62	-99.176201373	-206.3605753514	-117.0248447205
63	-101.7898005884	-206.1511932004	-118.1059169663
64	-104.4530892449	-215.1462896371	-116.7479568486
65	-104.8761033017	-227.6789800588	-114.9941157241
66	-105.8182412553	-241.2593984962	-114.0760052305
67	-103.9986923831	-255.9496567506	-112.5434782609
68	-104.2562929062	-260.3901601831	-109.2240928408
69	-101.3246158875	-287.9813664596	-104.2736188297
70	-98.4194181105	-299.4846355018	-97.2683883622
71	-95.1905851585	-325.1574043805	-93.858450474
72	-92.0212487741	-326.697286695	-90.4136972867
73	-87.6443282118	-317.246976136	-93.063255966
74	-86.6721150703	-306.1858450474	-90.0725727362
75	-93.3399803857	-287.0158548545	-93.9388689114
76	-95.6655769859	-264.0655442955	-96.7744360902
77	-102.0578620464	-248.8324615888	-95.3968617195
78	-101.2866949984	-235.5555737169	-94.2579274273
79	-104.0771493952	-218.7692056228	-93.2852239294
80	-105.9542334096	-201.3589408303	-90.0505067015
81	-103.801242236	-186.6868257601	-89.6874795685
82	-100.2670807453	-162.2682249101	-89.6557698594
83	-101.4148414515	-145.0214122262	-89.5823798627
84	-105.0764955868	-145.1462896371	-88.7973193854
85	-106.439686172	-143.2401111474	-90.1726054266
86	-108.6093494606	-145.2507355345	-90.3355671788
87	-107.4445897352	-147.618993135	-89.8123569794
88	-101.528604119	-160.118993135	-90.8112128146
89	-100.9395227198	-174.4300424975	-90.1201372998
90	-106.2324288983	-175.4535796012	-89.3172605427
91	-105.3337692056	-176.5890813991	-88.9375612945
92	-107.3135011442	-173.5362863681	-90.858450474
93	-114.0438051651	-167.1994115724	-89.3221641059
94	-120.6544622426	-166.6900948022	-88.8242889833
95	-125.7675711017	-162.9086302713	-90.307289964
96	-130.7087283426	-156.6677018634	-90.5699575025
97	-133.5626021576	-153.6637790127	-91.2567832625
98	-135.1075514874	-145.8697286695	-91.2167374959
99	-137.2690421706	-135.6855181432	-90.7505720824
100	-131.6557698594	-124.5573716901	-89.8906505394
101	-125.9444262831	-113.6495586793	-90.0537757437
102	-123.2775416803	-99.6817587447	-90.7814645309
103	-120.650539392	-99.1766917293	-89.7884929716
104	-119.1503759398	-105.8272311213	-90.8852566198
105	-113.2402745995	-102.6346845374	-92.0387381497
106	-104.7414187643	-101.2361882968	-91.950310559
107	-97.548218372	-101.0727361883	-92.0312193527
108	-91.2124877411	-105.1979405034	-90.6170317097
109	-93.506047728	-103.914187643	-90.0869565217
110	-92.84341288	-102.2464857797	-85.8228179144
111	-88.1206276561	-103.0107878392	-86.9122262177
112	-87.1559333115	-101.2397842432	-88.1139261196
113	-90.3429225237	-99.8054919908	-88.3806799608
114	-90.6799607715	-100.5972540046	-89.7031709709
115	-92.6547891468	-99.4552141223	-91.1856815953
116	-91.927754168	-99.2834259562	-92.0380843413
117	-84.3713631906	-97.5616214449	-92.8457012095
118	-90.1075514874	-96.3957175548	-93.8389996731
119	-88.6305982347	-96.4597907813	-93.634030729
120	-87.4161490683	-94.2510624387	-89.23488068
121	-96.5008172605	-91.5272965021	-93.3622098725
122	-104.0545930042	-91.2023537104	-97.7958483164
123	-107.6466165414	-90.7495913697	-99.3437397842
124	-111.9362536777	-93.2419091206	-103.1726054266
125	-114.307289964	-93.4575024518	-104.6064073227
126	-117.5070284407	-93.9308597581	-105.8107224583
127	-121.9761359922	-93.0576985943	-104.5954560314
128	-126.1556064073	-91.6914024191	-103.7835894083
129	-128.0902255639	-88.8743053285	-102.8051650866
130	-131.2880026152	-90.3360575351	-103.6881333769
131	-127.3396534815	-91.4439359268	-107.4220333442
132	-125.508989866	-93.6570774763	-105.9048708728
133	-129.9395227198	-91.6302713305	-105.6431840471
134	-129.5694671461	-92.0441320693	-103.477443609
135	-129.8888525662	-95.0485452762	-100.3643347499
136	-126.0745341615	-97.864498202	-98.7329192547
137	-121.853873815	-93.1655769859	-95.6314154953
138	-125.0594965675	-97.2683883622	-94.7806472703
139	-124.8522392939	-101.3998038575	-91.2587446878
140	-127.1163779013	-103.8368747957	-89.2608695652
141	-134.4798953906	-104.248447205	-95.569303694
142	-132.3236351749	-108.469924812	-94.3759398496
143	-131.8048381824	-108.9769532527	-94.5818895064
144	-130.7397842432	-109.7834259562	-94.3123569794
145	-125.2781954887	-111.8800261523	-92.5031055901
146	-124.1327231121	-110.3028767571	-85.7448512586
147	-121.9862700229	-109.1019941157	-86.4715593331
148	-119.364498202	-108.7448512586	-88.966819222
149	-116.0137299771	-108.9944426283	-89.7992808107
150	-113.8872180451	-110.704805492	-91.5648904871
151	-107.777051324	-109.3661327231	-91.1495586793
152	-108.8836220987	-107.1493952272	-91.7142857143
153	-103.2579274273	-103.308761033	-93.7894736842
154	-99.712324289	-103.3305001635	-95.1564236679
155	-102.6086956522	-96.2103628637	-96.1037920889
156	-100.9921542988	-94.5509970579	-98.0836874796
157	-102.1212814645	-91.6678653155	-92.7159202354
158	-100.7724746649	-98.9761359922	-97.0212487741
159	-104.0317097091	-98.6518470088	-99.1740764956
160	-106.6247139588	-96.4784243217	-101.6949983655
161	-108.456358287	-93.3623733246	-101.8700555737
162	-112.9986923831	-94.5689767898	-101.3244524354
163	-114.8777378228	-95.1967963387	-101.4315135665
164	-116.2595619483	-95.2708401438	-99.200228833
165	-118.4524354364	-96.52713305	-96.9405034325
166	-123.0957829356	-93.5197777051	-93.1314154953
167	-124.5792742726	-93.5078457012	-96.0637463223
168	-123.6247139588	-96.2468126839	-95.9275907159
169	-121.9101013403	-99.6431840471	-94.358450474
170	-122.0934946061	-100.5541026479	-91.997057862
171	-121.3609022556	-100.7160836875	-92.2721477607
172	-120.6214449166	-100.7338999673	-92.257600523
173	-118.9964040536	-99.3752860412	-91.6487414188
174	-120.1186662308	-97.471395881	-90.3708728343
175	-121.1261850278	-95.0681595293	-87.6006864989
176	-126.9136972867	-99.6935272965	-85.8814972213
177	-129.5714285714	-99.7847335731	-82.5477280157
178	-129.2406015038	-99.4476953253	-88.5143837855
179	-130.4416475973	-96.5457665904	-89.9481856816
180	-135.7708401438	-95.3416149068	-91.2201699902
181	-133.8202026806	-93.902092187	-91.3468453743
182	-134.3416149068	-95.3545276234	-93.0961098398
183	-133.4168028768	-94.4236678653	-93.7412553122
184	-134.9153318078	-93.1080418437	-93.0044132069
185	-133.2657731285	-91.9264465512	-91.9163125204
186	-129.3609022556	-87.5230467473	-90.4457339
187	-123.1140895718	-87.1444916639	-89.7579274273
188	-119.1631252043	-93.7358613926	-89.1484145145
189	-114.5276234063	-96.5457665904	-83.9249754822
190	-111.7303931766	-97.7288478112	-80.4240839252
191	-109.073982717	-98.6145873577	-77.8362507058
192	-106.5435756717	-99.1224256293	-76.5977146423
193	-104.124355685	-99.1718030254	-77.1447145532
194	-101.801506401	-98.6821599453	-79.9134892567
195	-99.5602114641	-97.5729367886	-85.3402775714
196	-97.3856545184	-95.7635739546	-93.8613183156
197	-95.2630192081	-93.1735118428	-105.9128503076
198	-93.1774891775	-89.7221908526	-121.9311123659
199	-91.1142480708	-85.3290513834	-142.3523433089

