episodes	DQV	Dueling-DQV-1st	Dueling-DQV-2nd	Dueling-DQV-3rd
0	-20.626496988193402	-21.0	-21.0	-20.86466922185556
1	-20.622606571712446	-21.0	-21.0	-20.860354317551888
2	-20.616958570701165	-21.0	-21.0	-20.85615990500606
3	-20.612416719049868	-21.0	-21.0	-20.858069877292863
4	-20.61050937109544	-21.0	-21.0	-20.869729044227668
5	-20.609804540586886	-21.0	-21.0	-20.890045548810136
6	-20.606057266659178	-21.0	-21.0	-20.913550597776684
7	-20.594207394901126	-21.0	-21.0	-20.932584067657686
8	-20.571499325014134	-21.0	-21.0	-20.939896927231917
9	-20.5399376518575	-21.0	-21.0	-20.93033090359159
10	-20.50706262125895	-21.0	-21.0	-20.901905619164616
11	-20.48387619616971	-21.0	-21.0	-20.856911587209055
12	-20.480951997793895	-21.0	-21.0	-20.802122795642056
13	-20.504321244086977	-21.0	-21.0	-20.74772738993736
14	-20.552852574760465	-21.0	-21.0	-20.704098624861842
15	-20.618696117296064	-21.0	-21.0	-20.67776041035279
16	-20.690669869395407	-21.0	-21.0	-20.669015011080024
17	-20.758569478160457	-21.0	-21.0	-20.673049328859964
18	-20.81627721080624	-21.0	-21.0	-20.68368555254377
19	-20.86248186973847	-21.0	-21.0	-20.697002758762736
20	-20.898765909836197	-21.0	-21.0	-20.71259996919452
21	-20.92718061297377	-21.0	-21.0	-20.73172295862038
22	-20.948521778861597	-21.0	-21.0	-20.754341788593173
23	-20.962138768654246	-21.0	-21.0	-20.777295585214155
24	-20.966179847990627	-21.0	-21.0	-20.794950428874323
25	-20.958352013824296	-21.0	-21.0	-20.80201239744899
26	-20.936577418396816	-21.0	-21.0	-20.796737155149877
27	-20.89972589281216	-21.0	-21.0	-20.782527068590092
28	-20.84869649820793	-21.0	-21.0	-20.76688143658117
29	-20.787181653495672	-21.0	-21.0	-20.758461336858932
30	-20.72162992863583	-21.0	-21.0	-20.763757457806246
31	-20.660301187666718	-21.0	-21.0	-20.784834325429255
32	-20.611542823162253	-21.0	-21.0	-20.81897171934544
33	-20.58193243690538	-21.0	-21.0	-20.860034128020104
34	-20.574727225490584	-21.0	-21.0	-20.90078458096176
35	-20.5887125995538	-21.0	-21.0	-20.93502099624271
36	-20.618254415558084	-21.0	-21.0	-20.95892228216674
37	-20.6545696470212	-21.0	-21.0	-20.970756081771405
38	-20.688139296793025	-21.0	-21.0	-20.969792864598826
39	-20.71145584937284	-21.0	-21.0	-20.955283606992325
40	-20.720959595651493	-21.0	-21.0	-20.92632472953779
41	-20.71772126461623	-21.0	-21.0	-20.88283169211367
42	-20.706535016089475	-21.0	-21.0	-20.826989623022357
43	-20.69385721202439	-21.0	-21.0	-20.764654153939716
44	-20.685130918795195	-21.0	-21.0	-20.70518295404582
45	-20.682757144932292	-21.0	-21.0	-20.6597533037068
46	-20.685643412072842	-21.0	-21.0	-20.63811956911183
47	-20.6908619795819	-21.0	-21.0	-20.644630844951955
48	-20.69586719742868	-21.0	-21.0	-20.675734954642863
49	-20.699884672250207	-21.0	-21.0	-20.720574801075458
50	-20.702716582172336	-21.0	-21.0	-20.765532237468236
51	-20.70306189374186	-21.0	-21.0	-20.799669831401975
52	-20.697617399246116	-21.0	-21.0	-20.81880349008962
53	-20.68232852394484	-21.0	-21.0	-20.824774662610054
54	-20.654452114866086	-21.0	-20.999955388657227	-20.821114932717872
55	-20.614367929130637	-21.0	-20.999839905234108	-20.807978909008582
56	-20.56610861801222	-21.0	-20.99948589239418	-20.78021354669312
57	-20.51712702341112	-20.999955388657227	-20.9985226752216	-20.73065945436848
58	-20.477099895440062	-20.999839905234108	-20.996156618716924	-20.656142686139802
59	-20.455590737437124	-20.99948589239418	-20.99109902718642	-20.562414993165024
