episodes	DQV	Tiny-dqv
0	6224.116064594532	5466.990561153482
1	6089.896228714486	5528.483374479036
2	5843.192317608651	5639.500542286337
3	5521.68586836802	5779.528784339345
4	5171.499310551328	5924.080294198018
5	4838.981785417904	6049.826534095616
6	4563.963518319753	6139.256010869775
7	4375.338108128964	6185.443885296656
8	4288.340654263096	6195.7359003440215
9	4305.655402893384	6190.566415933439
10	4421.347520367013	6197.021282792332
11	4624.894458162474	6238.906861287443
12	4904.780312957055	6331.612757950418
13	5249.423533984271	6484.462959786106
14	5648.552164091566	6708.04259369914
15	6092.187336367353	7014.576682956994
16	6566.47122329236	7404.5410609500905
17	7048.465821339876	7845.425542361875
18	7503.606880821464	8260.118774664199
19	7888.4770620658255	8540.44470168958
20	8159.875174561586	8585.762976769069
21	8288.097641201632	8348.093267537093
22	8269.170804449135	7856.95767890759
23	8131.123842552651	7210.350167595079
24	7929.236722498293	6535.809951474893
25	7731.354491901388	5944.853826743069
26	7599.278162458165	5503.389295198679
27	7575.843399716448	5229.1683161436795
28	7681.440691234308	5108.710720304801
29	7915.805450491112	5118.1327868676335
30	8261.12976003318	5234.117348909004
31	8684.637225251443	5433.458283319093
32	9143.304793877634	5687.756636235385
33	9592.269080425594	5963.076512783805
34	9995.57155892617	6226.495770404667
35	10333.24153805091	6454.599997861595
36	10603.970523241944	6638.223589947654
37	10823.32360104264	6779.760540094996
38	11018.474914814084	6888.61845280634
39	11218.838361253114	6978.876854230202
40	11443.404602706789	7070.611843454282
41	11688.07393220576	7191.010613168149
42	11921.246776660104	7368.153947849285
43	12092.663853535569	7618.476518689991
44	12156.395076231114	7934.703508322376
45	12094.299952841877	8284.25575619425
46	11926.403232365643	8622.467974289248
47	11702.248069561334	8913.762220862729
48	11477.809483347191	9147.819865451975
49	11295.844957710426	9341.47466391106
50	11178.658402082994	9525.4640810886
51	11134.94878820999	9726.043250523451
52	11174.47636934874	9951.465669102898
53	11319.096877658274	10190.295031103211
54	11602.452438802313	10419.580332389918
55	12056.53166090222	10616.634919867538
56	12685.94360946021	10767.91492659974
57	13443.324016167371	10871.73747876816
58	14222.987154068684	10935.6917495634
59	14882.691230721992	10971.335608436482
60	15291.650272123854	10990.500772095966
61	15378.163526116721	11003.410969361903
62	15152.824601235134	11019.607834897608
63	14698.616466126477	11050.526512058648
64	14135.34296334422	11110.538013407811
65	13588.90497029899	11217.543050672266
66	13175.113671331366	11388.485848000502
67	12997.639094239341	11633.53646720037
68	13138.593633237017	11950.941794411046
69	13643.100139379767	12327.323639899616
70	14494.760708271191	12745.321910875873
71	15609.437176373836	13193.958427568014
72	16855.875703007732	13672.69594943121
73	18098.098065055412	14186.267349061278
74	19228.03234694738	14733.694793483866
75	20172.37711144269	15303.388731315214
76	20874.29401180124	15880.739167425461
77	21281.675919586156	16462.633385374895
78	21371.731482482013	17062.97954020185
79	21202.664629821866	17704.920865023254
80	20946.784900078645	18403.90455813487
81	20859.15732221675	19163.569251091474
82	21176.686982724626	19990.166163270464
83	22007.864010109508	20911.166882646914
84	23283.159898858226	21974.87648619224
85	24795.239361145832	23214.980567924606
86	26302.10258853445	24598.814239690422
87	27632.336170808016	25992.42413756345
88	28741.808556257107	27178.136521488497
89	29714.154935122886	27920.912573021033
90	30701.47297784855	28057.499314893117
91	31843.366649669377	27563.429346388293
92	33185.93730076318	26571.98925708847
93	34648.36849632177	25333.47159356321
94	36042.75199854093	24148.90303599164
95	37150.00654578741	23289.67426565911
96	37792.27900036775	22929.236489740382
97	37875.68144876643	23099.757173336428
98	37392.45000401564	23682.09418122295
99	36405.95458546448	24441.81186980835
100	35037.397989950696	25109.128678634785
101	33461.04924977227	25468.668558210164
102	31889.740856123768	25428.30866548924
103	30548.76608974555	25032.35413533677
104	29638.701853578823	24427.201814122036
105	29291.047339811936	23797.998535185354
106	29529.80949285035	23299.165620239437
107	30243.89408597286	23002.43532793034
108	31192.124085428557	22878.691662673205
109	32058.55953182364	22819.77827380664
110	32556.729685599777	22698.243673593992
111	32546.04698866676	22439.045937355353
112	32096.09706327659	22066.76892684314
113	31449.32573332414	21701.161734497753
114	30887.95940346486	21502.3866960326
115	30578.06972274487	21585.632023267415
116	30476.460391329812	21962.67778180119
117	30368.266683774338	22540.58030857778
118	30003.28602118401	23179.486655410285
119	29258.276709454338	23755.240176716605
120	28216.66221540696	24199.69370372259
121	27130.350792551475	24484.548618315504
122	26296.630754305665	24586.69033428453
123	25932.456926285202	24469.669411611685
124	26109.88140400351	24110.810863207167
125	26753.43921963731	23548.150101278366
126	27678.30452073288	22914.07808964441
127	28649.131697894943	22408.514666155264
128	29458.02934871529	22232.718815958033
129	30014.62243089961	22511.41878897969
