epochs target_catch std_target_catch Catch_v0 Catch_v0_std Catch_v2 Catch_v2_std Catch_v4 Catch_v4_std
0 0.25556 0.017777777777777767 0.25889 0.03 0.22667 0.0 0.25889 0.01
1 0.26333 0.014444444444444454 0.29778 0.01 0.24556 0.01 0.28444 0.0
2 0.27778 0.0022222222222222365 0.34889 0.0 0.26111 0.01 0.32333 0.0
3 0.29778 0.004444444444444445 0.37778 0.02 0.25111 0.02 0.35222 0.0
4 0.31333 0.0022222222222222088 0.38667 0.02 0.27222 0.03 0.37111 0.01
5 0.31333 0.0 0.38667 0.03 0.27667 0.02 0.40444 0.02
6 0.32778 0.003333333333333355 0.38778 0.02 0.27778 0.0 0.42444 0.02
7 0.33222 0.027777777777777762 0.40111 0.03 0.28889 0.03 0.41333 0.03
8 0.33667 0.023333333333333317 0.41222 0.03 0.31333 0.02 0.44444 0.02
9 0.35333 0.0022222222222222365 0.42444 0.05 0.33667 0.02 0.45667 0.01
10 0.38 0.024444444444444435 0.42222 0.07 0.32444 0.04 0.47111 0.01
11 0.41889 0.04777777777777778 0.42889 0.08 0.35333 0.03 0.50444 0.01
12 0.45111 0.04222222222222222 0.43444 0.07 0.39889 0.03 0.53222 0.01
13 0.49 0.032222222222222235 0.46 0.08 0.42 0.05 0.54 0.02
14 0.51 0.025555555555555554 0.47889 0.08 0.47 0.06 0.58667 0.01
15 0.53111 0.0 0.49556 0.08 0.53444 0.05 0.61111 0.01
16 0.53667 0.0011111111111111183 0.48333 0.08 0.56667 0.05 0.60889 0.02
17 0.57111 0.011111111111111072 0.47 0.08 0.58222 0.05 0.63778 0.03
18 0.61444 0.007777777777777772 0.46778 0.06 0.59 0.04 0.65444 0.04
19 0.63667 0.014444444444444426 0.44222 0.04 0.59667 0.03 0.66222 0.05
20 0.68333 0.012222222222222245 0.44222 0.06 0.61 0.01 0.66222 0.05
21 0.71444 0.025555555555555554 0.43778 0.06 0.65222 0.01 0.70333 0.07
