episodes	DQV	DDQN	DQN	Upside-Down
0	2.9349363674	3.2201612903	6.7195564516	25.8374995744
1	4.1818210016	13.0338709677	16.7300806452	26.4099158481
2	5.4287056358	22.8475806452	26.7406048387	27.7379965779
3	6.6755902699	22.6612903226	26.7511290323	29.8800085219
4	7.9224749041	22.475	26.7616532258	32.6016608542
5	9.1693595383	22.2887096774	26.7721774194	35.4578639354
6	10.4162441725	22.1024193548	26.7827016129	38.0597887666
7	11.6631288067	21.9161290323	26.7932258065	40.4739946915
8	12.9100134409	21.7298387097	26.80375	43.3093939208
9	14.156898075	21.5435483871	26.8142741935	47.2640527128
10	15.4037827092	21.3572580645	26.8247983871	52.6327015026
11	16.6506673434	21.1709677419	26.8353225806	59.0676895647
12	17.8975519776	20.9846774194	26.8458467742	65.3665969163
13	19.1444366118	20.7983870968	26.8563709677	69.7598432972
14	20.391321246	20.6120967742	26.8668951613	71.2153695127
15	21.6382058801	20.4258064516	26.8774193548	70.6093389448
16	22.9080100008	20.1322580645	26.6580645161	70.2604604612
17	24.5713869464	19.6967741935	26.3677419355	72.3373747221
18	26.0569215731	19.4193548387	25.8806451613	77.6790152613
19	26.8814572524	19.464516129	25.6290322581	85.559024069
20	27.6618166779	19.1290322581	25.3419354839	94.2230284312
21	29.426084668	18.8806451613	25.0387096774	101.911105641
22	31.9608241221	18.7387096774	24.3322580645	107.5226660909
23	34.7958869088	18.4483870968	23.8258064516	110.2916540605
24	37.6591849011	18.3580645161	23.5967741935	109.3291826598
25	40.5838784871	18.3290322581	23.135483871	104.3925041998
26	43.1546732837	18.0548387097	22.764516129	97.5042197253
27	45.7196781713	17.8387096774	22.2741935484	92.9855543995
28	48.5974509362	17.6451612903	21.9709677419	94.501217863
29	51.8873599519	17.2322580645	21.3903225806	101.9125876363
30	54.9881570043	17.3612903226	20.8903225806	111.8377158194
31	58.4727047146	17.1709677419	20.5483870968	120.9707378795
32	62.5237987819	16.9838709677	20.1580645161	127.8854790358
33	66.8596511016	16.7516129032	19.4548387097	132.0897343955
34	70.9506729829	16.464516129	18.7774193548	132.9201912754
35	74.3108128431	16.4290322581	18.364516129	130.0069169738
36	76.9381156478	16.0709677419	17.5322580645	124.1499197392
37	78.2655838785	15.764516129	16.9193548387	116.8908127269
38	78.9219490187	15.6709677419	16.2225806452	109.4535392265
39	80.0748928491	15.3741935484	15.0161290323	103.0917487471
40	81.9377772765	14.9580645161	14.4225806452	99.9648386891
41	84.172193398	14.7290322581	13.9935483871	101.7535819554
42	87.2774268742	14.4516129032	13.6322580645	107.4575405851
43	91.0499285661	14.1612903226	13.2	114.3394738935
44	95.1062109933	14.0935483871	13.0451612903	120.6891036953
45	98.2931799383	13.8838709677	12.7032258065	126.1811839404
46	101.0193623581	13.7129032258	12.7129032258	130.672404828
47	102.9995488383	13.5516129032	12.6032258065	134.3765172909
48	104.803443868	13.5	12.5741935484	138.1188237834
49	107.0364689074	13.3677419355	12.6903225806	141.9493296036
50	110.0383863448	12.964516129	12.6806451613	144.2555618141
51	112.7177231371	12.8967741935	12.7419354839	143.0652089495
52	114.4863899541	12.8580645161	12.8161290323	137.8007987951
53	115.3561545981	12.8	12.9419354839	129.3368734223
54	115.7454695842	12.8032258065	13.0290322581	118.8270352096
55	116.135837281	12.7903225806	13	107.7067111608
56	116.6112865629	12.6064516129	13.0193548387	99.2128923024
57	117.8844274006	12.6225806452	13.2129032258	98.0068956301
58	119.6169260847	12.6193548387	13.3580645161	106.2476406867
59	121.5290999323	12.6193548387	13.5064516129	120.6210909061
60	122.915707948	12.6161290323	13.6806451613	134.7709578511
61	124.1336190691	12.3612903226	13.9064516129	144.2951401656
62	123.9375516956	12.7741935484	14.1064516129	148.4230675288
63	122.9645086097	12.9129032258	14.4096774194	148.0977952603
64	122.1636965185	13.5129032258	14.9	144.704998914
65	121.8076547109	14.1741935484	15.2483870968	140.7451507753
66	121.856981728	14.7903225806	15.6677419355	139.6423607422
67	122.250093992	15.4806451613	16.2935483871	143.6213047337
68	123.5804571772	16.0548387097	16.9806451613	152.2181838043
69	124.780472216	17.1290322581	17.6161290323	163.1172151143
70	126.0392886683	18.3258064516	18.5387096774	173.8162139278
71	126.737311076	19.2741935484	19.4967741935	182.370891055
72	126.3254004061	20.1903225806	20.9161290323	187.4708218088
73	125.1165877134	21.1548387097	22.8935483871	188.8394064275
74	123.5668095346	21.9483870968	25.0935483871	187.79429366
75	122.2662230243	22.6064516129	27.1290322581	186.7900164499
76	121.8321302354	23.2258064516	29.8935483871	187.6701684227
77	121.942476878	23.9290322581	32.2193548387	190.2561270205
78	122.7329498459	24.735483871	34.7838709677	192.8864116731
79	122.8444243928	25.6387096774	37.5548387097	194.240562414
80	122.9849612753	26.5774193548	40.0741935484	194.4151771011
81	122.5760583503	27.5225806452	42.7677419355	194.4399198755
82	121.850176705	28.3	45.4064516129	195.0873091771
83	121.8996165125	29.0419354839	48.1838709677	196.1953630398
