episodes,DQV,DQV-Max,DQN,DDQN,Upside-Down
0,-20.6264969882,-21,-20.7575446671,-20.5547424784,-21
1,-20.6226065717,-21,-20.7354753306,-20.5752113806,-21
2,-20.6169585707,-21,-20.6955161274,-20.6090314765,-21
3,-20.612416719,-21,-20.6439897709,-20.6439611168,-21
4,-20.6105093711,-21,-20.5866605508,-20.6666789192,-21
5,-20.6098045406,-21,-20.5271189175,-20.6675144944,-21
6,-20.6060572667,-21,-20.4676354758,-20.6444139401,-21
7,-20.5942073949,-21,-20.411573109,-20.6034471806,-21
8,-20.571499325,-21,-20.3652822736,-20.5555547749,-21
9,-20.5399376519,-21,-20.3374714814,-20.5114164518,-19
10,-20.5070626213,-21,-20.3351496871,-20.4776604558,-21
11,-20.4838761962,-21,-20.3579166119,-20.4563050091,-21
12,-20.4809519978,-21,-20.3947810786,-20.4471585103,-20
13,-20.5043212441,-21,-20.4268005363,-20.4503046916,-21
14,-20.5528525748,-21,-20.4355983735,-20.4666366943,-20
15,-20.6186961173,-21,-20.4130774341,-20.4957582897,-19
16,-20.6906698694,-21,-20.3665679115,-20.5340098135,-20
17,-20.7585694782,-21,-20.315363515,-20.5745451782,-20
18,-20.8162772108,-21,-20.2808375568,-20.6094658246,-19
19,-20.8624818697,-21,-20.2753715901,-20.6323084839,-21
20,-20.8987659098,-21,-20.2962180784,-20.6390416213,-21
21,-20.927180613,-21,-20.327601299,-20.6274919084,-20
22,-20.9485217789,-21,-20.3487337181,-20.596624511,-20
23,-20.9621387687,-21,-20.3436695951,-20.5470581859,-20
24,-20.966179848,-21,-20.3081400418,-20.4824062142,-20
25,-20.9583520138,-21,-20.2513944163,-20.4102754368,-21
26,-20.9365774184,-21,-20.1924056649,-20.3411293947,-21
27,-20.8997258928,-21,-20.1526400054,-20.2852803201,-18
28,-20.8486964982,-21,-20.1485701382,-20.2493336994,-21
29,-20.7871816535,-21,-20.1868191903,-20.2344869625,-19
30,-20.7216299286,-21,-20.2629581078,-20.2373107491,-20
31,-20.6603011877,-21,-20.3636194424,-20.2523850486,-20
32,-20.6115428232,-21,-20.4708381321,-20.2746149918,-19
