epoch	acc	loss	val_acc	val_loss
0	0.4063160677	2.4113032523	0.0435761589	4.6280372119
1	0.6022539494	1.4822508836	0.1321854305	5.3961424638
2	0.6776059224	1.1694152678	0.1385430464	4.8302157688
3	0.721858682	0.9877949676	0.1652980132	5.6230001356
4	0.7548086457	0.8564619496	0.1660927152	5.0750661399
5	0.7836274704	0.7564942127	0.1348344371	7.4224406121
6	0.8066957499	0.660240424	0.1882119205	8.3457290341
7	0.8234846983	0.5948898546	0.1989403974	5.5703942531
8	0.8402075484	0.5298160661	0.3080794702	3.9334073711
9	0.8548152555	0.4722107966	0.3528476821	3.6854075503
10	0.8702491903	0.4266746875	0.3686092715	9.2665757728
11	0.882675656	0.3834818566	0.3782781457	5.4289903668
12	0.8902769516	0.3474463737	0.3747019868	11.278949072
13	0.882675656	0.3834818566	0.3782781457	5.4289903668
14	0.882675656	0.3834818566	0.3782781457	5.4289903668
15	0.8902769516	0.3474463737	0.3747019868	11.278949072
16	0.8902769516	0.3474463737	0.3747019868	11.278949072
17	0.882675656	0.3834818566	0.3782781457	5.4289903668
18	0.8902769516	0.3474463737	0.3747019868	11.278949072
19	0.8902769516	0.3474463737	0.3747019868	11.278949072
20	0.882675656	0.3834818566	0.3782781457	5.4289903668
21	0.8902769516	0.3474463737	0.3747019868	11.278949072
22	0.8902769516	0.3474463737	0.3747019868	11.278949072
23	0.8902769516	0.3474463737	0.3747019868	11.278949072
24	0.8902769516	0.3474463737	0.3747019868	11.278949072
25	0.882675656	0.3834818566	0.3782781457	5.4289903668
26	0.8902769516	0.3474463737	0.3747019868	11.278949072
27	0.8902769516	0.3474463737	0.3747019868	11.278949072
28	0.8902769516	0.3474463737	0.3747019868	11.278949072
29	0.882675656	0.3834818566	0.3782781457	5.4289903668
30	0.882675656	0.3834818566	0.3782781457	5.4289903668
31	0.882675656	0.3834818566	0.3782781457	5.4289903668
32	0.882675656	0.3834818566	0.3782781457	5.4289903668
33	0.882675656	0.3834818566	0.3782781457	5.4289903668
34	0.882675656	0.3834818566	0.3782781457	5.4289903668
35	0.882675656	0.3834818566	0.3782781457	5.4289903668
36	0.882675656	0.3834818566	0.3782781457	5.4289903668
37	0.882675656	0.3834818566	0.3782781457	5.4289903668
38	0.882675656	0.3834818566	0.3782781457	5.4289903668
39	0.882675656	0.3834818566	0.3782781457	5.4289903668
40	0.882675656	0.3834818566	0.3782781457	5.4289903668

