epoch	acc	loss	val_acc	val_loss
0	0.8824426112	0.5086220928	0.2661767342	2.5580013181
1	0.8913043478	0.4513445523	0.8706757483	0.668429127
2	0.9008901944	0.3752929101	0.901147159	0.4124968995
3	0.9069219903	0.3472511872	0.7866105037	0.7404281791
4	0.910846021	0.3260407641	0.8781143574	0.5258881842
5	0.9150279167	0.3095287939	0.909033877	0.3671074155
6	0.9183913716	0.2941783885	0.8678974727	0.6044597749
7	0.9207906361	0.2804287375	0.6626635598	0.9538786535
8	0.9239747068	0.2725042576	0.9204158451	0.3231571178
9	0.924759513	0.2658898808	0.9155762681	0.3300420213
10	0.9266654708	0.2568136369	0.9120810181	0.3563655438
11	0.9289077741	0.2458017062	0.8908406524	0.4418915639
12	0.930925847	0.2393033082	0.9058074924	0.403741062
13	0.9324506133	0.2309164915	0.9206847105	0.3309733764
14	0.9350404736	0.2212366792	0.7995160423	0.7281889057
15	0.9369015853	0.215731923	0.9285714286	0.2769881161
16	0.9381460636	0.2066294334	0.9057178706	0.4032356336
17	0.9376751799	0.2087027294	0.5654239111	5.4444118686
18	0.9400071754	0.1992999237	0.9053593834	0.3673498081
19	0.9422046326	0.1885717999	0.8752464599	0.4514123458
20	0.9430903424	0.1844293653	0.9093027424	0.3431994559
21	0.9443908783	0.1794640765	0.8855529665	0.7095914974
22	0.9456017221	0.1787103977	0.9112744219	0.4171631448
23	0.9462744131	0.1776025477	0.8858218319	0.4357761328
24	0.9494248492	0.1616745853	0.8841190177	0.4575878821
25	0.9494248492	0.1616745853	0.8841190177	0.4575878821
26	0.9494248492	0.1616745853	0.8841190177	0.4575878821
27	0.9494248492	0.1616745853	0.8841190177	0.4575878821
28	0.9494248492	0.1616745853	0.8841190177	0.4575878821
29	0.9494248492	0.1616745853	0.8841190177	0.4575878821
30	0.9494248492	0.1616745853	0.8841190177	0.4575878821
31	0.9494248492	0.1616745853	0.8841190177	0.4575878821
32	0.9494248492	0.1616745853	0.8841190177	0.4575878821
33	0.9494248492	0.1616745853	0.8841190177	0.4575878821
34	0.9494248492	0.1616745853	0.8841190177	0.4575878821
35	0.9494248492	0.1616745853	0.8841190177	0.4575878821
36	0.9494248492	0.1616745853	0.8841190177	0.4575878821
37	0.9494248492	0.1616745853	0.8841190177	0.4575878821
38	0.9494248492	0.1616745853	0.8841190177	0.4575878821
39	0.9494248492	0.1616745853	0.8841190177	0.4575878821
40	0.9494248492	0.1616745853	0.8841190177	0.4575878821
