epoch	artist_prediction_acc	artist_prediction_loss	loss	material_prediction_acc	material_prediction_loss	type_prediction_acc	type_prediction_loss	val_artist_prediction_acc	val_artist_prediction_loss	val_loss	val_material_prediction_acc	val_material_prediction_loss	val_type_prediction_acc	val_type_prediction_loss
0	0.1045093837	3.9620934882	5.9569531194	0.8470661492	2.7559507741	0.7260484245	3.2389088611	0.0967991042	3.9445922408	6.1816464112	0.4496837716	3.0279283329	0.5375574346	3.209125837
1	0.2229784523	3.2159307368	4.7846944902	0.8609679101	0.6031770175	0.7528527572	0.9655867284	0.101084984	4.1792862781	5.7565032985	0.8677555118	0.6401720151	0.7692188888	0.9370450045
2	0.3401007878	2.6246916748	4.0832439878	0.8663838044	0.5703563186	0.7700417053	0.8881959904	0.1715896367	3.7503071786	5.9787171223	0.8547048149	0.9750973934	0.7105293641	1.2533125514
3	0.4244960612	2.2248828243	3.6384567875	0.8668906395	0.5642273783	0.7783537998	0.8493465815	0.2371134021	3.4718169188	5.2001828032	0.8311517819	0.7424192456	0.7735819916	0.9859466406
4	0.4883427943	1.9402816971	3.301854381	0.8690048656	0.5501260451	0.7865790083	0.8114466368	0.206841963	3.8485516872	5.2618529382	0.8847445847	0.522730709	0.7862079617	0.8905705423
5	0.5507703892	1.684977846	2.9929072548	0.8721762048	0.5417853119	0.7946883689	0.7661440949	0.326962431	2.9139112911	4.9787336795	0.8582570756	0.9728761472	0.7218039307	1.0919462436
6	0.6043066497	1.4589737757	2.7461633478	0.8705398517	0.5445501015	0.7986561631	0.7426394719	0.4604424881	2.1566629869	3.9921286697	0.8195297116	0.829306532	0.7358971389	1.0061591492
7	0.6492556766	1.2721524248	2.521652405	0.8708005097	0.5329674318	0.8058387396	0.716532551	0.3812888529	2.932184285	4.2023112878	0.8715008301	0.5759672128	0.8135449245	0.6941597898
8	0.6905989342	1.1062235267	2.3219096778	0.8732188369	0.5251619004	0.8100816728	0.6905242488	0.5547318429	1.7785142767	3.0660422929	0.8914629908	0.4733181477	0.7755125681	0.8142098688
9	0.7260194625	0.9668448113	2.1691423381	0.8726685589	0.5263185247	0.812818582	0.6759790007	0.5284373914	1.8271211892	3.2089182602	0.8371751805	0.6739891913	0.8143171551	0.7078078793
10	0.7567626274	0.8434441207	2.0112661425	0.8741601019	0.5157163208	0.8189585264	0.652105701	0.671647554	1.2865649352	2.6679433246	0.8687980231	0.6597885689	0.8033900923	0.7215898208
11	0.7866224513	0.7337781691	1.8787540394	0.8742035449	0.5099690926	0.8216375116	0.6350067792	0.542337542	1.8627522919	3.3061460622	0.8699949805	0.6649186855	0.7831190393	0.7784750858
12	0.8140784291	0.6367310528	1.7735788346	0.875333063	0.5087175105	0.8251708758	0.6281302724	0.6440016989	1.4927451993	2.7514901788	0.8362485038	0.6976679245	0.8427738523	0.5610770546
13	0.8349165894	0.5556106986	1.6669559806	0.8757819741	0.5023136045	0.8303840361	0.6090316767	0.6525348469	1.447387777	3.4955171467	0.8755550407	0.5640348899	0.7383296652	1.484094478
14	0.8574779889	0.4820290334	1.579051597	0.875086886	0.4999550892	0.8324837813	0.5970674726	0.6872466118	1.2855049028	2.5407749511	0.8854395923	0.5158814268	0.8120004633	0.7393886192
15	0.8719155468	0.4256991025	1.5049681708	0.8794311863	0.4883325314	0.8335553753	0.5909365386	0.6289432024	1.685297335	2.9224954039	0.8390285339	0.6701793119	0.8423105139	0.5670187569
16	0.8835437905	0.3834223609	1.4381350935	0.8816467794	0.4795210332	0.8358144115	0.5751917006	0.7092937951	1.2804325404	2.5707771048	0.8750530909	0.5311181696	0.7961311248	0.7592263937
