epoch	acc	loss	val_acc	val_loss
0	0.7955695914	0.8013870685	0.5223417837	1.9361368879
1	0.8305417147	0.6251975757	0.717308043	0.8375190672
2	0.8592978575	0.5040213	0.7442093744	1.4313675293
3	0.8721936536	0.4483548147	0.7732080978	0.9991608108
4	0.8823301369	0.408372855	0.7795002736	0.7591172642
5	0.8897643182	0.3755750275	0.8138792632	0.6709002882
6	0.8979738435	0.3397520753	0.7857924494	0.807702429
7	0.8897643182	0.3755750275	0.8138792632	0.6709002882
8	0.8897643182	0.3755750275	0.8138792632	0.6709002882
9	0.8897643182	0.3755750275	0.8138792632	0.6709002882
10	0.8897643182	0.3755750275	0.8138792632	0.6709002882
11	0.8897643182	0.3755750275	0.8138792632	0.6709002882
12	0.8897643182	0.3755750275	0.8138792632	0.6709002882
13	0.8897643182	0.3755750275	0.8138792632	0.6709002882
14	0.8897643182	0.3755750275	0.8138792632	0.6709002882
15	0.8897643182	0.3755750275	0.8138792632	0.6709002882
16	0.8897643182	0.3755750275	0.8138792632	0.6709002882
17	0.8897643182	0.3755750275	0.8138792632	0.6709002882
18	0.8897643182	0.3755750275	0.8138792632	0.6709002882
19	0.8897643182	0.3755750275	0.8138792632	0.6709002882
20	0.8897643182	0.3755750275	0.8138792632	0.6709002882
21	0.8897643182	0.3755750275	0.8138792632	0.6709002882
22	0.8897643182	0.3755750275	0.8138792632	0.6709002882
23	0.8897643182	0.3755750275	0.8138792632	0.6709002882
24	0.8897643182	0.3755750275	0.8138792632	0.6709002882
25	0.8897643182	0.3755750275	0.8138792632	0.6709002882
26	0.8897643182	0.3755750275	0.8138792632	0.6709002882
27	0.8897643182	0.3755750275	0.8138792632	0.6709002882
28	0.8897643182	0.3755750275	0.8138792632	0.6709002882
29	0.8897643182	0.3755750275	0.8138792632	0.6709002882
30	0.8897643182	0.3755750275	0.8138792632	0.6709002882
31	0.8897643182	0.3755750275	0.8138792632	0.6709002882
32	0.8897643182	0.3755750275	0.8138792632	0.6709002882
33	0.8897643182	0.3755750275	0.8138792632	0.6709002882
34	0.8897643182	0.3755750275	0.8138792632	0.6709002882
35	0.8897643182	0.3755750275	0.8138792632	0.6709002882
36	0.8897643182	0.3755750275	0.8138792632	0.6709002882
37	0.8897643182	0.3755750275	0.8138792632	0.6709002882
38	0.8897643182	0.3755750275	0.8138792632	0.6709002882
39	0.8897643182	0.3755750275	0.8138792632	0.6709002882
40	0.8897643182	0.3755750275	0.8138792632	0.6709002882


