pruning_stages	baseline	ticket	random_mask
0.000	81.29	81.5	81.51
1.000	81.29	81.21	81.32
2.000	81.29	81.01	81.13
3.000	81.29	80.985	82.37
4.000	81.29	81.25	78.17
5.000	81.29	80.71	81.08
6.000	81.29	80.625	76.655
7.000	81.29	80.545	80.095
8.000	81.29	80.395	73.56
9.000	81.29	81.395	81.12
10.000	81.29	80.315	69.61
11.000	81.29	80.07	52.84
12.000	81.29	80.43	61.84
13.000	81.29	80.41	54.84
14.000	81.29	80.245	53.34
15.000	81.29	80.64	49.84
16.000	81.29	80.87	36.34
17.000	81.29	81.065	42.84
18.000	81.29	81.77	33.84
19.000	81.29	81.895	22.37
20.000	81.29	81.8	20.37
21.000	81.29	81.775	31.34
22.000	81.29	81.36	13.37
23.000	81.29	80.635	10.0
24.000	81.29	79.345	10.0
25.000	81.29	77.635	10.0
26.000	81.29	71.01	10.0
27.000	81.29	27.015	10.0
28.000	81.29	10.0	10.0
29.000	81.29	10.0	10.0
30.000	81.29	10.0	10.0
pruning_stages	baseline	ticket	std-ticket	random_mask	std-mask
0.000	81.29	81.5	0.01	81.51	0.0
1.000	81.29	81.21	0.11	81.32	0.0
2.000	81.29	81.01	0.12	81.13	0.0
3.000	81.29	80.985	0.255	82.37	0.0
4.000	81.29	81.25	0.1	78.17	3.18
5.000	81.29	80.71	0.37	81.08	0.0
6.000	81.29	80.625	0.695	76.655	4.665
7.000	81.29	80.545	0.655	80.095	1.105
8.000	81.29	80.395	0.735	73.56	7.57
9.000	81.29	81.395	0.275	81.12	0.0
10.000	81.29	80.315	0.595	69.61	11.3
11.000	81.29	80.07	0.46	52.84	8.53
12.000	81.29	80.43	0.48	61.84	2.47
13.000	81.29	80.41	0.27	54.84	0.53
14.000	81.29	80.245	0.095	53.34	4.97
15.000	81.29	80.64	0.18	49.84	8.47
16.000	81.29	80.87	0.25	36.34	7.97
17.000	81.29	81.065	0.345	42.84	11.47
18.000	81.29	81.77	0.62	33.84	5.47
19.000	81.29	81.895	0.475	22.37	0.0
20.000	81.29	81.8	0.69	20.37	0.0
21.000	81.29	81.775	0.415	31.34	7.97
22.000	81.29	81.36	0.58	13.37	0.0
23.000	81.29	80.635	0.445	10.0	0.0
24.000	81.29	79.345	1.155	10.0	0.0
25.000	81.29	77.635	2.035	10.0	0.0
26.000	81.29	71.01	5.78	10.0	0.0
27.000	81.29	27.015	17.015	10.0	0.0
28.000	81.29	10.0	0.0	10.0	0.0
29.000	81.29	10.0	0.0	10.0	0.0
30.000	81.29	10.0	0.0	10.0	0.0
pruning_stages	baseline	ticket	std-ticket	random_mask	std-mask
0.000	81.29	81.5	0.01	81.51	0.0
1.000	81.29	81.21	0.11	81.32	0.0
2.000	81.29	81.01	0.12	81.13	0.0
3.000	81.29	80.985	0.255	82.37	0.0
4.000	81.29	81.25	0.1	78.17	3.18
5.000	81.29	80.71	0.37	81.08	0.0
6.000	81.29	80.625	0.695	76.655	4.665
7.000	81.29	80.545	0.655	80.095	1.105
8.000	81.29	80.395	0.735	73.56	7.57
9.000	81.29	81.395	0.275	81.12	0.0
10.000	81.29	80.315	0.595	69.61	11.3
11.000	81.29	80.07	0.46	52.84	8.53
12.000	81.29	80.43	0.48	61.84	2.47
13.000	81.29	80.41	0.27	54.84	0.53
14.000	81.29	80.245	0.095	53.34	4.97
15.000	81.29	80.64	0.18	49.84	8.47
16.000	81.29	80.87	0.25	36.34	7.97
17.000	81.29	81.065	0.345	42.84	11.47
18.000	81.29	81.77	0.62	33.84	5.47
19.000	81.29	81.895	0.475	22.37	0.0
20.000	81.29	81.8	0.69	20.37	0.0
21.000	81.29	81.775	0.415	31.34	7.97
22.000	81.29	81.36	0.58	13.37	0.0
23.000	81.29	80.635	0.445	10.0	0.0
24.000	81.29	79.345	1.155	10.0	0.0
25.000	81.29	77.635	2.035	10.0	0.0
26.000	81.29	71.01	5.78	10.0	0.0
27.000	81.29	27.015	17.015	10.0	0.0
28.000	81.29	10.0	0.0	10.0	0.0
29.000	81.29	10.0	0.0	10.0	0.0
30.000	81.29	10.0	0.0	10.0	0.0
pruning_stages	baseline	ticket	std-ticket	random_mask	std-mask
0.000	81.29	81.5	0.01	81.51	0.0
1.000	81.29	81.21	0.11	81.32	0.0
2.000	81.29	81.01	0.12	81.13	0.0
3.000	81.29	80.985	0.255	82.37	0.0
4.000	81.29	81.25	0.1	78.17	3.18
5.000	81.29	80.71	0.37	81.08	0.0
6.000	81.29	80.625	0.695	76.655	4.665
7.000	81.29	80.545	0.655	80.095	1.105
8.000	81.29	80.395	0.735	73.56	7.57
9.000	81.29	81.395	0.275	81.12	0.0
10.000	81.29	80.315	0.595	69.61	11.3
11.000	81.29	80.07	0.46	52.84	8.53
12.000	81.29	80.43	0.48	61.84	2.47
13.000	81.29	80.41	0.27	54.84	0.53
14.000	81.29	80.245	0.095	53.34	4.97
15.000	81.29	80.64	0.18	49.84	8.47
16.000	81.29	80.87	0.25	36.34	7.97
17.000	81.29	81.065	0.345	42.84	11.47
18.000	81.29	81.77	0.62	33.84	5.47
19.000	81.29	81.895	0.475	22.37	0.0
20.000	81.29	81.8	0.69	20.37	0.0
21.000	81.29	81.775	0.415	31.34	7.97
22.000	81.29	81.36	0.58	13.37	0.0
23.000	81.29	80.635	0.445	10.0	0.0
24.000	81.29	79.345	1.155	10.0	0.0
25.000	81.29	77.635	2.035	10.0	0.0
26.000	81.29	71.01	5.78	10.0	0.0
27.000	81.29	27.015	17.015	10.0	0.0
28.000	81.29	10.0	0.0	10.0	0.0
29.000	81.29	10.0	0.0	10.0	0.0
30.000	81.29	10.0	0.0	10.0	0.0
