pruning_stages	baseline	winning_ticket	random_mask	cifar10	cifar100	fahion_mnist
0.000	45.88	45.1156812339	46.9151670951	60.411311054	60.411311054	53.7275064267
1.000	45.88	46.4010282776	51.4138817481	57.7120822622	58.9974293059	56.0411311054
2.000	45.88	50.3856041131	52.8277634961	62.853470437	60.411311054	55.0128534704
3.000	45.88	53.470437018	55.912596401	58.7403598972	56.940874036	54.8843187661
4.000	45.88	55.2699228792	56.5552699229	61.6966580977	59.7686375321	55.2699228792
5.000	45.88	54.2416452442	55.0128534704	58.2262210797	60.5398457584	56.2982005141
6.000	45.88	53.7275064267	55.912596401	61.1825192802	60.5398457584	55.2699228792
7.000	45.88	54.8843187661	58.7403598972	59.6401028278	58.9974293059	55.1413881748
8.000	45.88	55.3984575835	59.6401028278	61.3110539846	59.2544987147	57.5835475578
9.000	45.88	56.0411311054	57.4550128535	62.7249357326	59.5115681234	55.912596401
10.000	45.88	54.6272493573	58.7403598972	60.7969151671	58.0976863753	54.498714653
11.000	45.88	56.2982005141	58.2262210797	62.853470437	61.1825192802	54.8843187661
12.000	45.88	58.7403598972	57.1979434447	63.3676092545	61.8251928021	57.969151671
13.000	45.88	56.5552699229	59.383033419	63.2390745501	62.853470437	59.7686375321
14.000	45.88	55.5269922879	44.0105298008	62.5964010283	64.7814910026	55.6555269923
15.000	45.88	54.1131105398	49.9822521658	65.8097686375	61.8251928021	59.6401028278
16.000	45.88	53.2133676093	47.8678562789	66.5809768638	65.0385604113	59.2544987147
17.000	45.88	53.3419023136	51.1524998996	66.0668380463	63.881748072	60.5398457584
18.000	45.88	53.2133676093	48.3530140384	66.5809768638	65.4241645244	62.3393316195
19.000	45.88	52.3136246787	43.8247364034	65.4241645244	64.1388174807	58.4832904884
20.000	45.88	47.9434447301	39.9976763303	64.2673521851	64.5244215938	59.7686375321
21.000	45.88	49.2287917738	29.8369075	65.5526992288	65.2956298201	63.881748072
22.000	45.88	45.6298200514	28.8369075	65.2956298201	65.5526992288	61.3110539846
23.000	45.88	39.3316195373	22.3369075	65.6812339332	63.2390745501	61.1825192802
24.000	45.88	31.7480719794	18.52165	63.881748072	64.9100257069	61.8251928021
25.000	45.88	29.9485861183	17.52165	62.9820051414	63.6246786632	59.7686375321
26.000	45.88	28.7917737789	16.97852165	63.3676092545	62.0822622108	59.1259640103
27.000	45.88	24.5501285347	21.97852165	59.2544987147	61.3110539846	58.4832904884
28.000	45.88	18.8946015424	19.97852165	59.383033419	63.3676092545	56.2982005141
29.000	45.88	15.8097686375	15.250085825	54.8843187661	60.9254498715	56.4267352185
30.000	45.88	11.0539845758	11.0539845758	45.3727506427	58.2262210797	52.9562982005
