pruning_stages	baseline	ticket	random_weights
0.000	97.29	97.155	97.24
0.200	97.29	97.145	97.18
0.360	97.29	97.24	97.205
0.488	97.29	97.17	97.085
0.590	97.29	97.09	97.145
0.672	97.29	97.235	97.18
0.738	97.29	97.275	97.155
0.790	97.29	97.17	97.17
0.832	97.29	97.12	97.06
0.866	97.29	97.165	97.055
0.893	97.29	97.145	97.02
0.914	97.29	97.075	97.035
0.931	97.29	97.06	96.995
0.945	97.29	97.095	97.06
0.956	97.29	97.075	96.99
0.965	97.29	97.005	92.945
0.972	97.29	97.09	91.925
0.977	97.29	97.005	90.985
0.982	97.29	97.025	86.895
0.986	97.29	96.93	88.88
0.988	97.29	96.745	85.6
0.991	97.29	96.61	83.41
0.993	97.29	96.435	81.98
0.994	97.29	96.16	80.695
0.995	97.29	95.975	80.31
0.996	97.29	95.575	80.13499975
0.997	97.29	95.015	81.64499975
0.998	97.29	94.595	80.12999975
0.998	97.29	93.845	75.52999975
0.998	97.29	93.19	70.23499975
0.999	97.29	92.64	79.64499975
