episodes	DQV	DQV-Max	DQN	DDQN
0	-21.96860576254394	-13.720987576545264	-11.963941108237055	-14.938676245927656
1	-21.80880323751012	-13.289935038002248	-12.508268326695692	-14.242883043332395
2	-21.601986256277076	-12.57902230671529	-13.424165026573725	-12.959528045572961
3	-21.53294319323954	-11.805269867272688	-14.417547436279895	-11.286409688606474
4	-21.779884032291108	-11.139345538345893	-15.163401738047849	-9.46691016769139
5	-22.435541083627136	-10.64634870967576	-15.398993187776846	-7.734135747238312
6	-23.45335551821945	-10.298992779844834	-15.003711815040164	-6.2611450234997275
7	-24.64743545302399	-10.03708600018166	-14.04074589023649	-5.144534642774049
8	-25.754121368438618	-9.824830691655619	-12.746773726446424	-4.409453689793878
9	-26.528102402434897	-9.673044740785734	-11.461752760400806	-4.030073787720463
10	-26.82536624117423	-9.621505617860308	-10.50885861146842	-3.951888232832276
11	-26.64413909591119	-9.704953861498831	-10.075825150822105	-4.110512417155386
12	-26.11538382081779	-9.922230804027189	-10.14627618910162	-4.449974173894505
13	-25.45304886568861	-10.226350444309656	-10.528499988858403	-4.929042236092046
14	-24.888608338886122	-10.544712003254668	-10.95870140669326	-5.5203439010173545
15	-24.596923050342685	-10.815709666830625	-11.22799179106473	-6.193222681766966
16	-24.63064955738825	-11.015872773539998	-11.264588435243708	-6.892015214841226
17	-24.90310183673644	-11.160577137725825	-11.137253483355444	-7.529797573237628
18	-25.224333897606446	-11.274690739202736	-10.987060018004186	-7.99966656132441
19	-25.388268496686628	-11.358547608761455	-10.936411872436008	-8.207175784137972
20	-25.256030439701878	-11.382342897900633	-11.022250841279305	-8.108761963171283
21	-24.79074361308419	-11.313651961172988	-11.190492832718599	-7.738187041404714
22	-24.033273670576737	-11.167139296114032	-11.346579677272796	-7.20828032942114
23	-23.050162107130014	-11.04324588549237	-11.43391223103693	-6.677709009046417
24	-21.895859538273477	-11.118591001859041	-11.480522648652645	-6.306951552411868
25	-20.606870859342386	-11.583607574163944	-11.588324489866562	-6.220194018354036
26	-19.22790954201769	-12.555844598181197	-11.864606825094711	-6.486905045528362
