episodes	DQV	Hard-DQV
0	-20.626496988193402	-20.426726312482067
1	-20.622606571712446	-20.427055408455445
2	-20.616958570701165	-20.42334110583374
3	-20.612416719049868	-20.410261041372856
4	-20.61050937109544	-20.385696657283333
5	-20.609804540586886	-20.352445487244765
6	-20.606057266659178	-20.31567688515802
7	-20.594207394901126	-20.278941445787975
8	-20.571499325014134	-20.242602840295174
9	-20.5399376518575	-20.20625705939029
10	-20.50706262125895	-20.173690943718473
11	-20.48387619616971	-20.155692939770113
12	-20.480951997793895	-20.16721856093302
13	-20.504321244086977	-20.21945966260872
14	-20.552852574760465	-20.31104485982274
15	-20.618696117296064	-20.42463522824572
16	-20.690669869395407	-20.53174466896354
17	-20.758569478160457	-20.603147880917067
18	-20.81627721080624	-20.620321317111507
19	-20.86248186973847	-20.58268700105218
20	-20.898765909836197	-20.50828474742781
21	-20.92718061297377	-20.428044505099088
22	-20.948521778861597	-20.374840074726468
23	-20.962138768654246	-20.371601596307567
24	-20.966179847990627	-20.423392216073218
25	-20.958352013824296	-20.516350935893037
26	-20.936577418396816	-20.624684808430736
27	-20.89972589281216	-20.721367289031182
28	-20.84869649820793	-20.787380285602314
29	-20.787181653495672	-20.81584989317946
30	-20.72162992863583	-20.810813477156476
31	-20.660301187666718	-20.782953770339212
32	-20.611542823162253	-20.744934354123135
33	-20.58193243690538	-20.707828958178037
34	-20.574727225490584	-20.6793801832934
35	-20.5887125995538	-20.663122737377556
36	-20.618254415558084	-20.657649868256115
37	-20.6545696470212	-20.656577370654226
38	-20.688139296793025	-20.650240883816522
39	-20.71145584937284	-20.629881290463224
40	-20.720959595651493	-20.592781677784057
41	-20.71772126461623	-20.54518335880173
42	-20.706535016089475	-20.5003354420177
43	-20.69385721202439	-20.472457386221407
44	-20.685130918795195	-20.4704536412676
45	-20.682757144932292	-20.495439256375604
46	-20.685643412072842	-20.54238826222863
47	-20.6908619795819	-20.60386484444021
48	-20.69586719742868	-20.67225342568318
49	-20.699884672250207	-20.740021448821025
50	-20.702716582172336	-20.79947547881501
51	-20.70306189374186	-20.843625769068684
52	-20.697617399246116	-20.868162370943566
53	-20.68232852394484	-20.873296974098317
54	-20.654452114866086	-20.863755695086425
55	-20.614367929130637	-20.8463682235899
56	-20.56610861801222	-20.826547488755477
57	-20.51712702341112	-20.805641289862294
58	-20.477099895440062	-20.781814916222668
59	-20.455590737437124	-20.752990709043026
60	-20.458938873105325	-20.720412188643927
61	-20.487720453837426	-20.688930190872554
62	-20.536315762816553	-20.663195539698435
63	-20.5947887656311	-20.643046279313893
64	-20.651351277266272	-20.62158575086415
65	-20.69453623502647	-20.58888066765054
66	-20.71464839130857	-20.537786893227796
67	-20.705372197633558	-20.46856208254683
68	-20.66539711873024	-20.38868186131749
69	-20.59913524309092	-20.30886437804018
70	-20.51575826313777	-20.238406503067086
71	-20.426689117458206	-20.183514718645654
72	-20.342324391099524	-20.147870139516836
73	-20.269942616524872	-20.13477415757029
74	-20.213490049650773	-20.147704313710697
75	-20.175100172553133	-20.187742268201664
76	-20.156919927222226	-20.249489490380217
77	-20.16147065644552	-20.31893719784903
78	-20.189420439963698	-20.376085643139447
79	-20.236715106174753	-20.402695577740648
80	-20.293548263336177	-20.390975070846082
81	-20.34765249802591	-20.347491028589847
82	-20.390110664093086	-20.29043168409938
83	-20.420027524636637	-20.241881634735208
84	-20.44446178849058	-20.220227241774033
85	-20.473530110626967	-20.23485010390136
86	-20.513672865003763	-20.284500144442468
87	-20.56370606796114	-20.357690165670064
88	-20.615110104086778	-20.43541034438082
89	-20.656357506667792	-20.495880093003493
90	-20.677670702295973	-20.519514278467305
91	-20.674080450586438	-20.49347119077102
92	-20.646220685134388	-20.413984657102443
93	-20.599873300810778	-20.28791871129507
94	-20.544875065545195	-20.13356536308881
95	-20.493332006439317	-19.979122835659084
96	-20.456568332247954	-19.856676743413928
97	-20.44136782899387	-19.79203362052749
98	-20.44730694489981	-19.79347628473423
99	-20.4670844828041	-19.8460986885921
100	-20.490248185510865	-19.916052952430242
101	-20.50811989703813	-19.963830007244
102	-20.516705418705286	-19.96083263982439
103	-20.516196432024984	-19.900728841473814
104	-20.508190532998967	-19.801028439452868
105	-20.493114178779607	-19.69487170558549
106	-20.46998219931853	-19.618230037912944
107	-20.437817587859527	-19.59839677958739
108	-20.396572216437114	-19.647393186299805
109	-20.346083187320865	-19.760702029261207
110	-20.28452634262517	-19.920094441422048
111	-20.208849140813538	-20.098247248362846
112	-20.11825573341749	-20.265009035040258
113	-20.01883444556851	-20.393500333227948
114	-19.924370098245838	-20.46595189895214
115	-19.851365796604952	-20.47821551352384
116	-19.81078067977063	-20.44148234237741
117	-19.802198721292473	-20.37989303405069
118	-19.81457912146801	-20.32330586760501
119	-19.833100187816797	-20.297056568909948
120	-19.846416017229753	-20.313565472813195
121	-19.850153726376693	-20.369402926738733
122	-19.84563525203561	-20.449117361556215
123	-19.83694852776565	-20.532166822659736
124	-19.829353989193812	-20.60023691708546
125	-19.82913665890095	-20.642232947116284
126	-19.842830789732684	-20.655916146734345
127	-19.874548666831416	-20.646862634712505
128	-19.92166399498384	-20.624611669678494
129	-19.973119151682933	-20.598191254265124
130	-20.012579502431798	-20.57290121098587
131	-20.024779369629407	-20.55037678431101
132	-20.002839843679432	-20.530334919935914
133	-19.95087515015323	-20.511834152878237
134	-19.881454911051065	-20.493136146207263
135	-19.808657185450453	-20.47083611544084
136	-19.74133803445722	-20.440854914955352
137	-19.680837005646712	-20.400291745673336
138	-19.6241280689136	-20.35002467077863
139	-19.569577899020217	-20.29509349136537
140	-19.520689718166757	-20.243002865496845
141	-19.484346963943214	-20.2004621140795
142	-19.465640238276293	-20.171035415428243
143	-19.463543640153375	-20.15499864577847
144	-19.47136892245026	-20.151732615005407
145	-19.4817008886206	-20.162485967911476
146	-19.49194788555866	-20.190703974914165
147	-19.50558205329791	-20.238760863406085
148	-19.52784918215424	-20.303832522977174
149	-19.558932514930543	-20.37609542517082
150	-19.590035866940934	-20.441602293328373
151	-19.60655965689323	-20.487437123951793
152	-19.59665258963243	-20.50492778547838
153	-19.559327817542666	-20.490506555051105
154	-19.505976453405246	-20.444075139711916
155	-19.454559065232992	-20.36867402035547
156	-19.420806266485542	-20.270633995766932
157	-19.411375103148252	-20.16039341427971
158	-19.423104977989876	-20.05217747771696
159	-19.446816961754905	-19.962221363243888
160	-19.472439647362958	-19.906037332099807
161	-19.491502377034223	-19.894056155568645
162	-19.496115706888677	-19.927953993981465
163	-19.476480433258708	-19.997626819504188
164	-19.42131168496199	-20.083180094881254
165	-19.322312389240373	-20.160675211318352
166	-19.18093572835121	-20.209681448353233
167	-19.010702355040785	-20.218636180879518
168	-18.832549321520347	-20.185298615410247
169	-18.665536443477684	-20.114235012337094
170	-18.52009245991044	-20.014779675922398
171	-18.398565896213565	-19.90098136426858
172	-18.300792579420172	-19.79192014576997
173	-18.228841703984198	-19.70867841462431
174	-18.186489925530307	-19.6678775597446
175	-18.17557290773848	-19.67495018879048
176	-18.192953958101008	-19.7225119038224
177	-18.231977150588705	-19.79476662811984
178	-18.285902001833463	-19.87475745231719
179	-18.35068048315654	-19.951040169749593
180	-18.42450460748833	-20.01970439724941
181	-18.504770041674224	-20.082469273834555
182	-18.58516270401575	-20.142153830487363
183	-18.654191029580744	-20.198846512463675
184	-18.697412784504607	-20.247775914869322
185	-18.702030545426933	-20.28070589107345
186	-18.662322237846073	-20.288812260678963
187	-18.582659823957258	-20.264783213604762
188	-18.477461194855252	-20.204840332041655
189	-18.36783116223286	-20.110398105426277
190	-18.276339044677176	-19.990822757702595
191	-18.22217862083782	-19.86534776673029
192	-18.21773702909336	-19.76063911791905
