epochs catchv0 stdv0 catchv1 stdv1 catchv2 stdv2 catchv3 stdv3
0 0.26333 0.02 0.23111 0.02 0.25556 0.02 0.16 0.01
1 0.27778 0.02 0.23111 0.01 0.26333 0.01 0.16222 0.01
2 0.28889 0.02 0.25222 0.01 0.27778 0.0 0.17667 0.02
3 0.32444 0.01 0.25667 0.01 0.29778 0.0 0.16667 0.01
4 0.31667 0.01 0.24444 0.01 0.31333 0.0 0.17889 0.01
5 0.33556 0.01 0.24889 0.02 0.31333 0.0 0.18 0.0
6 0.34778 0.03 0.23778 0.02 0.32778 0.0 0.17778 0.0
7 0.35222 0.02 0.23222 0.03 0.33222 0.03 0.19889 0.0
8 0.38111 0.02 0.25889 0.03 0.33667 0.02 0.20333 0.02
9 0.38889 0.01 0.27 0.01 0.35333 0.0 0.19667 0.02
10 0.40444 0.0 0.27667 0.0 0.38 0.02 0.19556 0.03
11 0.41444 0.0 0.28333 0.01 0.41889 0.05 0.2 0.04
12 0.43333 0.01 0.27889 0.01 0.45111 0.04 0.19778 0.04
13 0.45778 0.01 0.27222 0.0 0.49 0.03 0.21 0.02
14 0.48444 0.01 0.27556 0.01 0.51 0.03 0.22444 0.0
15 0.50444 0.0 0.28333 0.02 0.53111 0.0 0.23889 0.01
16 0.55111 0.02 0.28556 0.02 0.53667 0.0 0.26333 0.04
17 0.59778 0.0 0.29111 0.01 0.57111 0.01 0.27667 0.04
18 0.64111 0.01 0.27333 0.0 0.61444 0.01 0.28222 0.03
19 0.68778 0.01 0.28778 0.01 0.63667 0.01 0.28111 0.02
20 0.70889 0.02 0.28222 0.03 0.68333 0.01 0.27778 0.0
21 0.71667 0.03 0.28333 0.02 0.71444 0.03 0.27667 0.0
22 0.72667 0.02 0.28889 0.02 0.72333 0.03 0.27556 0.0
23 0.72667 0.01 0.27444 0.02 0.74889 0.02 0.30778 0.0
24 0.73444 0.03 0.28222 0.0 0.76333 0.04 0.32556 0.03
25 0.76 0.01 0.27778 0.01 0.77111 0.02 0.34444 0.02
26 0.79444 0.02 0.28556 0.0 0.8 0.02 0.36889 0.03
27 0.81 0.02 0.26889 0.0 0.81444 0.01 0.39444 0.03
28 0.82667 0.01 0.28889 0.01 0.83 0.01 0.40333 0.04
29 0.84667 0.04 0.28333 0.02 0.82333 0.03 0.40111 0.04
30 0.85444 0.04 0.28778 0.01 0.82889 0.02 0.44111 0.03
31 0.86444 0.04 0.29222 0.02 0.83111 0.03 0.45556 0.03
32 0.88444 0.04 0.28778 0.03 0.84222 0.03 0.46778 0.02
33 0.89111 0.03 0.27889 0.01 0.86444 0.01 0.50222 0.03
34 0.90333 0.02 0.27333 0.02 0.87222 0.01 0.50667 0.03
35 0.92222 0.01 0.27222 0.0 0.87667 0.01 0.5 0.03
36 0.92111 0.02 0.28 0.01 0.89556 0.0 0.49111 0.03
37 0.92556 0.02 0.29 0.0 0.89444 0.0 0.50667 0.03
38 0.93222 0.02 0.30333 0.0 0.89889 0.0 0.52889 0.04
39 0.93 0.02 0.31 0.01 0.91889 0.01 0.57 0.05
40 0.93222 0.02 0.31556 0.0 0.93556 0.01 0.60889 0.04
41 0.94333 0.01 0.32556 0.0 0.94 0.0 0.63889 0.03
42 0.95111 0.01 0.32 0.02 0.95333 0.0 0.63667 0.0
43 0.95556 0.01 0.32444 0.03 0.95 0.01 0.65 0.01
44 0.96333 0.01 0.31111 0.02 0.94889 0.0 0.65111 0.02
45 0.96222 0.02 0.29778 0.03 0.94889 0.0 0.64222 0.03
46 0.96444 0.01 0.28889 0.02 0.93778 0.01 0.62444 0.05
47 0.97 0.01 0.30333 0.02 0.94111 0.01 0.64 0.06
48 0.97222 0.0 0.3 0.02 0.94 0.01 0.65889 0.04
49 0.97889 0.0 0.29556 0.02 0.94333 0.01 0.66556 0.04
50 0.97778 0.0 0.30222 0.01 0.93444 0.01 0.70333 0.02
51 0.97889 0.0 0.30333 0.01 0.94444 0.0 0.70667 0.01
52 0.98333 0.0 0.31667 0.01 0.94444 0.0 0.71667 0.01
53 0.98111 0.0 0.33111 0.0 0.94778 0.0 0.73111 0.0
54 0.97778 0.0 0.33667 0.03 0.95444 0.01 0.75778 0.0
55 0.97667 0.01 0.32889 0.02 0.95889 0.01 0.76667 0.02
56 0.97778 0.01 0.33111 0.01 0.96 0.0 0.78 0.02
57 0.97 0.01 0.32444 0.01 0.96778 0.0 0.78778 0.01
58 0.97111 0.02 0.32667 0.02 0.97333 0.0 0.77556 0.0
59 0.97 0.01 0.32333 0.02 0.96444 0.0 0.77556 0.0
60 0.96889 0.01 0.31444 0.03 0.95889 0.01 0.77444 0.0
61 0.96778 0.01 0.31111 0.04 0.95667 0.01 0.77444 0.0
62 0.96667 0.01 0.31556 0.03 0.95667 0.01 0.78444 0.01
63 0.96556 0.01 0.32667 0.04 0.95667 0.01 0.80111 0.0
64 0.95889 0.01 0.33889 0.05 0.95556 0.01 0.81111 0.01
65 0.95222 0.01 0.33111 0.03 0.95778 0.0 0.81778 0.0
66 0.95111 0.01 0.33333 0.02 0.95889 0.01 0.81778 0.0
67 0.95333 0.0 0.32222 0.02 0.96444 0.01 0.81889 0.01
68 0.95667 0.0 0.31556 0.01 0.96444 0.01 0.82222 0.01
69 0.96111 0.0 0.32667 0.02 0.96444 0.01 0.82444 0.02
70 0.96556 0.0 0.33889 0.05 0.96222 0.01 0.83333 0.01
71 0.96778 0.0 0.35778 0.05 0.96444 0.0 0.83667 0.0
72 0.97444 0.0 0.35667 0.06 0.96778 0.0 0.82889 0.0
73 0.98111 0.01 0.36222 0.06 0.97222 0.0 0.83444 0.01
74 0.97333 0.0 0.35444 0.04 0.97556 0.0 0.82778 0.01
75 0.96889 0.0 0.34444 0.04 0.97556 0.0 0.83889 0.01
76 0.96889 0.01 0.34778 0.03 0.97222 0.01 0.84778 0.01
77 0.96333 0.01 0.36778 0.02 0.96889 0.01 0.85556 0.01
78 0.96444 0.01 0.37 0.02 0.96556 0.01 0.87444 0.01
79 0.97556 0.01 0.38444 0.01 0.96667 0.01 0.88 0.01
80 0.96889 0.01 0.40556 0.02 0.96778 0.01 0.87444 0.02
81 0.97222 0.0 0.40778 0.01 0.96667 0.0 0.86778 0.02
82 0.97222 0.0 0.40222 0.01 0.96667 0.01 0.85889 0.0
83 0.96778 0.01 0.39889 0.03 0.96778 0.0 0.86 0.0
84 0.97556 0.0 0.38556 0.05 0.96778 0.0 0.86778 0.0
85 0.98 0.01 0.38333 0.05 0.97556 0.0 0.87222 0.02
86 0.97889 0.01 0.4 0.07 0.97444 0.01 0.87889 0.0
87 0.98667 0.01 0.39333 0.06 0.97556 0.0 0.88333 0.01
88 0.98222 0.0 0.39111 0.04 0.97111 0.0 0.88333 0.01
89 0.97111 0.0 0.41111 0.03 0.96778 0.01 0.88111 0.0
90 0.96667 0.0 0.40556 0.03 0.97 0.01 0.87556 0.01
91 0.96556 0.01 0.41667 0.05 0.96556 0.0 0.88222 0.01
92 0.96333 0.01 0.43444 0.06 0.97222 0.01 0.89111 0.01
93 0.96 0.01 0.45222 0.07 0.97222 0.0 0.87889 0.0
94 0.96778 0.01 0.45111 0.07 0.97 0.01 0.89444 0.0
95 0.97111 0.01 0.48 0.07 0.97 0.0 0.89333 0.01
96 0.97333 0.0 0.48889 0.06 0.97 0.0 0.88667 0.01
97 0.97333 0.0 0.48444 0.06 0.96333 0.01 0.88222 0.02
98 0.97556 0.01 0.48778 0.07 0.96222 0.0 0.88333 0.01
99 0.97222 0.0 0.47889 0.06 0.97222 0.0 0.88333 0.0
100 0.97667 0.0 0.46556 0.06 0.96889 0.0 0.89333 0.0
101 0.97444 0.01 0.47556 0.07 0.97 0.0 0.89222 0.0
102 0.97333 0.01 0.47333 0.07 0.97222 0.0 0.90333 0.0
103 0.97556 0.0 0.47889 0.08 0.97222 0.0 0.90444 0.0
104 0.97444 0.0 0.47889 0.09 0.96889 0.0 0.90667 0.01
105 0.97667 0.01 0.47889 0.07 0.97222 0.0 0.89889 0.01
106 0.97778 0.0 0.49889 0.07 0.97333 0.0 0.89222 0.02
107 0.97667 0.01 0.49778 0.08 0.97222 0.0 0.88111 0.01
108 0.97778 0.01 0.50778 0.07 0.97333 0.0 0.88667 0.01
109 0.97667 0.0 0.51778 0.07 0.97667 0.0 0.88333 0.0
110 0.97778 0.0 0.50778 0.1 0.96889 0.0 0.89667 0.0
111 0.97778 0.0 0.49556 0.09 0.97 0.01 0.90667 0.0
112 0.97444 0.0 0.49222 0.08 0.97111 0.01 0.91222 0.0
113 0.97667 0.0 0.49111 0.07 0.97222 0.0 0.90556 0.0
114 0.96778 0.0 0.52889 0.06 0.97667 0.0 0.90444 0.0
115 0.96667 0.0 0.54556 0.08 0.97889 0.0 0.89111 0.0
116 0.96556 0.01 0.55222 0.1 0.97444 0.01 0.88889 0.01
117 0.96444 0.0 0.55778 0.09 0.97333 0.02 0.89 0.01
118 0.97222 0.0 0.56111 0.11 0.97 0.01 0.89 0.02
119 0.97333 0.0 0.55333 0.1 0.96778 0.01 0.89 0.02
120 0.97556 0.01 0.54 0.09 0.97111 0.01 0.89778 0.01
121 0.97222 0.01 0.54667 0.09 0.97667 0.0 0.89778 0.0
122 0.97 0.01 0.54444 0.09 0.97556 0.0 0.90222 0.0
123 0.96667 0.0 0.55222 0.09 0.98 0.0 0.90778 0.0
124 0.96778 0.01 0.56889 0.09 0.97333 0.0 0.90111 0.01
125 0.97 0.01 0.58667 0.09 0.97222 0.0 0.90778 0.01
126 0.97 0.01 0.6 0.08 0.97111 0.0 0.91111 0.01
127 0.97 0.01 0.60778 0.07 0.97556 0.0 0.91 0.0
128 0.97333 0.0 0.62 0.09 0.96889 0.0 0.91111 0.0
129 0.97333 0.0 0.61333 0.11 0.97 0.0 0.91222 0.0
130 0.97333 0.0 0.61111 0.12 0.96889 0.0 0.90778 0.0
131 0.97444 0.01 0.61444 0.13 0.96667 0.0 0.89667 0.0
132 0.97333 0.01 0.62111 0.13 0.96556 0.0 0.90111 0.01
133 0.97333 0.01 0.62778 0.1 0.97444 0.01 0.90444 0.0
134 0.97 0.01 0.64333 0.07 0.97667 0.0 0.9 0.01
135 0.96778 0.0 0.64 0.08 0.97667 0.0 0.90333 0.01
136 0.96556 0.0 0.64556 0.08 0.97 0.0 0.90778 0.01
137 0.97222 0.01 0.66 0.09 0.97222 0.0 0.89111 0.01
138 0.97333 0.01 0.66333 0.11 0.96556 0.0 0.90222 0.01
139 0.97444 0.0 0.67222 0.09 0.96667 0.0 0.89778 0.02
140 0.98111 0.0 0.67444 0.1 0.96889 0.0 0.90111 0.01
141 0.97889 0.0 0.66556 0.09 0.97222 0.0 0.89778 0.0
142 0.97556 0.01 0.65556 0.09 0.97667 0.01 0.9 0.0
143 0.98 0.01 0.66333 0.11 0.97889 0.01 0.90444 0.0
144 0.98 0.0 0.65889 0.12 0.98 0.01 0.89889 0.0
145 0.98222 0.0 0.67889 0.12 0.97778 0.01 0.89778 0.01
146 0.98222 0.0 0.67778 0.12 0.98222 0.0 0.90111 0.01
147 0.98889 0.0 0.67889 0.13 0.97222 0.0 0.90889 0.01
148 0.98222 0.0 0.68444 0.12 0.97 0.0 0.92222 0.0
149 0.97556 0.0 0.69889 0.1 0.96889 0.0 0.92 0.0
150 0.97111 0.0 0.70778 0.1 0.97111 0.0 0.91444 0.0
151 0.96333 0.01 0.71444 0.1 0.97556 0.0 0.91444 0.0
152 0.96111 0.0 0.69556 0.1 0.97889 0.01 0.89778 0.0
153 0.96667 0.0 0.70333 0.1 0.98111 0.01 0.88778 0.01
154 0.96556 0.0 0.70444 0.1 0.98222 0.0 0.88889 0.01
155 0.97222 0.0 0.70333 0.09 0.97889 0.0 0.88111 0.0
156 0.97444 0.0 0.73667 0.09 0.97111 0.0 0.88667 0.01
157 0.97 0.0 0.74444 0.09 0.96778 0.01 0.89667 0.01
158 0.97667 0.0 0.73556 0.09 0.96889 0.01 0.89222 0.01
159 0.97778 0.0 0.71444 0.11 0.96444 0.01 0.89444 0.01
160 0.98333 0.0 0.71889 0.1 0.97333 0.0 0.9 0.01
161 0.97667 0.0 0.73 0.1 0.97778 0.0 0.89778 0.0
162 0.97889 0.0 0.73444 0.1 0.97667 0.0 0.90222 0.01
163 0.97889 0.01 0.74333 0.09 0.97778 0.0 0.91333 0.01
164 0.97889 0.01 0.73889 0.09 0.97556 0.01 0.91222 0.01
165 0.98222 0.01 0.73 0.09 0.97778 0.01 0.91111 0.0
166 0.98222 0.01 0.72667 0.1 0.97889 0.01 0.90889 0.0
167 0.97667 0.0 0.73556 0.09 0.97333 0.01 0.90222 0.0
168 0.97 0.0 0.75556 0.1 0.97111 0.01 0.90111 0.0
169 0.96556 0.0 0.76 0.1 0.97 0.0 0.89 0.01
170 0.96556 0.0 0.78 0.1 0.97 0.01 0.89778 0.0
171 0.97 0.0 0.78556 0.1 0.97111 0.0 0.9 0.01
172 0.97667 0.01 0.78778 0.1 0.97111 0.0 0.90889 0.0
173 0.97889 0.0 0.79111 0.11 0.97222 0.0 0.90556 0.0
174 0.97556 0.0 0.78222 0.12 0.97556 0.0 0.91222 0.0
175 0.97778 0.0 0.78222 0.11 0.97778 0.0 0.91111 0.01
176 0.97556 0.0 0.79556 0.11 0.97889 0.0 0.91111 0.0
177 0.97333 0.0 0.78444 0.11 0.97889 0.01 0.91444 0.01
178 0.97111 0.0 0.79222 0.1 0.98222 0.01 0.91111 0.0
179 0.97333 0.01 0.80222 0.1 0.97667 0.01 0.90778 0.01
180 0.97111 0.01 0.79778 0.11 0.97556 0.0 0.90556 0.01
181 0.97222 0.01 0.79 0.11 0.97 0.0 0.90778 0.0
182 0.97556 0.0 0.79556 0.11 0.97 0.01 0.90444 0.01
183 0.97444 0.0 0.79333 0.11 0.96778 0.0 0.90667 0.01
184 0.96667 0.01 0.79111 0.1 0.97222 0.0 0.90778 0.0
185 0.97444 0.01 0.79889 0.09 0.97556 0.0 0.90556 0.01
186 0.96889 0.0 0.80222 0.07 0.97667 0.0 0.90889 0.01
187 0.97111 0.0 0.80444 0.07 0.97 0.0 0.90778 0.02
188 0.97222 0.01 0.8 0.07 0.97222 0.0 0.90667 0.01
189 0.97 0.01 0.81444 0.07 0.97 0.0 0.90778 0.01
190 0.96556 0.01 0.82556 0.08 0.97333 0.0 0.90667 0.01
191 0.96333 0.01 0.83556 0.08 0.97333 0.0 0.89556 0.02
192 0.96222 0.01 0.85222 0.07 0.97667 0.0 0.89556 0.02
193 0.96778 0.0 0.84889 0.08 0.98111 0.0 0.89778 0.02
194 0.96778 0.0 0.84222 0.08 0.98 0.0 0.89444 0.01
195 0.97 0.01 0.84333 0.08 0.97889 0.01 0.89556 0.01
196 0.96889 0.01 0.83556 0.08 0.97889 0.0 0.89333 0.0
197 0.96444 0.01 0.83889 0.08 0.97444 0.0 0.89111 0.0
198 0.96778 0.01 0.84 0.08 0.97667 0.0 0.89444 0.01
199 0.97 0.01 0.83111 0.09 0.97 0.0 0.88889 0.0
200 0.97111 0.0 0.82444 0.11 0.96778 0.0 0.91 0.0
201 0.97556 0.0 0.84222 0.1 0.97111 0.0 0.91 0.01
202 0.97444 0.0 0.85111 0.1 0.96222 0.0 0.90444 0.01
203 0.97556 0.0 0.87 0.08 0.96333 0.0 0.89667 0.01
204 0.98 0.0 0.87444 0.07 0.96889 0.0 0.9 0.01
205 0.97778 0.0 0.87667 0.08 0.97 0.0 0.89333 0.01
206 0.97889 0.0 0.87556 0.08 0.97222 0.0 0.89 0.02
207 0.97556 0.01 0.85889 0.08 0.97444 0.0 0.90111 0.01
208 0.97333 0.0 0.86 0.08 0.97444 0.0 0.89889 0.02
209 0.97222 0.0 0.87 0.08 0.96889 0.0 0.88667 0.01
210 0.97778 0.01 0.87222 0.07 0.96889 0.0 0.89222 0.01
211 0.97889 0.0 0.88333 0.07 0.96889 0.0 0.88556 0.0
212 0.98333 0.0 0.89222 0.07 0.96778 0.0 0.87667 0.0
213 0.97889 0.0 0.88667 0.07 0.96889 0.01 0.87 0.0
