epochs target_catch std_target_catch Catch_v2 Catch_v2_std Catch_v3 Catch_v3_std Catch_v4 Catch_v4_std
0 0.26333 0.02111111111111111 0.24333 0.01 0.28444 0.03 0.33889 0.04
1 0.27778 0.024444444444444435 0.25889 0.02 0.30667 0.04 0.40222 0.04
2 0.28889 0.01999999999999999 0.25 0.01 0.31333 0.05 0.48556 0.06
3 0.32444 0.011111111111111101 0.26111 0.03 0.32889 0.05 0.56111 0.08
4 0.31667 0.010000000000000009 0.25333 0.02 0.33556 0.05 0.62667 0.07
5 0.33556 0.011111111111111127 0.25444 0.02 0.33444 0.06 0.65889 0.06
6 0.34778 0.025555555555555554 0.26 0.04 0.34444 0.07 0.69444 0.04
7 0.35222 0.016666666666666663 0.29778 0.03 0.35667 0.08 0.74444 0.02
8 0.38111 0.016666666666666663 0.33 0.02 0.35556 0.05 0.74444 0.01
9 0.38889 0.013333333333333336 0.36556 0.03 0.35778 0.04 0.76889 0.0
10 0.40444 0.0 0.39556 0.04 0.35556 0.04 0.79222 0.01
11 0.41444 0.0011111111111111183 0.44111 0.07 0.34444 0.03 0.80889 0.02
12 0.43333 0.006666666666666654 0.45889 0.07 0.34889 0.03 0.82111 0.02
13 0.45778 0.013333333333333336 0.48556 0.07 0.34778 0.03 0.84556 0.02
14 0.48444 0.00888888888888889 0.51 0.08 0.34333 0.01 0.84111 0.01
15 0.50444 0.0044444444444444176 0.52 0.06 0.35222 0.01 0.85222 0.02
16 0.55111 0.015555555555555545 0.52333 0.04 0.36111 0.01 0.85222 0.03
17 0.59778 0.0044444444444444176 0.54889 0.06 0.37778 0.0 0.85333 0.03
18 0.64111 0.014444444444444426 0.55111 0.08 0.37222 0.01 0.86889 0.01
19 0.68778 0.005555555555555591 0.60444 0.09 0.36444 0.01 0.87889 0.01
20 0.70889 0.024444444444444435 0.64333 0.12 0.37444 0.02 0.89333 0.01
21 0.71667 0.02777777777777779 0.67444 0.17 0.34667 0.02 0.91111 0.0
22 0.72667 0.024444444444444435 0.70889 0.18 0.38444 0.04 0.91778 0.01
23 0.72667 0.006666666666666654 0.71778 0.18 0.41444 0.03 0.91556 0.01
24 0.73444 0.025555555555555554 0.73667 0.17 0.45444 0.04 0.91111 0.0
25 0.76 0.013333333333333308 0.74222 0.18 0.46333 0.04 0.90778 0.0
26 0.79444 0.021111111111111136 0.73778 0.18 0.48 0.03 0.90556 0.01
27 0.81 0.016666666666666663 0.74444 0.18 0.48111 0.04 0.90556 0.02
28 0.82667 0.013333333333333308 0.74556 0.19 0.47333 0.06 0.91444 0.02
29 0.84667 0.040000000000000036 0.74111 0.21 0.45444 0.08 0.92222 0.02
30 0.85444 0.036666666666666625 0.76333 0.19 0.47333 0.1 0.93222 0.01
31 0.86444 0.0377777777777778 0.76111 0.21 0.49111 0.13 0.93444 0.01
32 0.88444 0.04444444444444445 0.75222 0.21 0.49889 0.14 0.93667 0.0
33 0.89111 0.02888888888888891 0.76222 0.19 0.52444 0.14 0.93333 0.0
