epochs baseline std_baseline tl std_tl
0 0.235 0.0049999999999999906 0.3 0.065
1 0.235 0.0 0.3 0.065
2 0.23249999999999998 0.0024999999999999883 0.2975 0.0625
3 0.22999999999999998 0.0049999999999999906 0.295 0.06499999999999999
4 0.23249999999999998 0.007499999999999993 0.295 0.06
5 0.23249999999999998 0.007499999999999993 0.2975 0.0625
6 0.23249999999999998 0.007499999999999993 0.295 0.06
7 0.22999999999999998 0.0049999999999999906 0.2975 0.057499999999999996
8 0.22749999999999998 0.007499999999999993 0.305 0.06
9 0.22749999999999998 0.012499999999999997 0.305 0.06
10 0.22749999999999998 0.0175 0.3 0.065
11 0.22499999999999998 0.020000000000000004 0.2975 0.0625
12 0.22749999999999998 0.022500000000000006 0.2925 0.062499999999999986
13 0.22749999999999998 0.022500000000000006 0.2875 0.062499999999999986
14 0.2275 0.027499999999999997 0.295 0.06
15 0.225 0.03 0.2975 0.0625
16 0.2225 0.027499999999999997 0.3 0.065
17 0.22 0.03 0.3 0.065
18 0.2175 0.027499999999999997 0.3 0.065
19 0.22 0.03 0.3 0.065
20 0.2225 0.037500000000000006 0.3 0.065
21 0.22 0.04000000000000001 0.2975 0.057499999999999996
22 0.22 0.04000000000000001 0.3 0.06
23 0.2175 0.037500000000000006 0.2975 0.06749999999999999
24 0.2175 0.04250000000000001 0.3 0.065
25 0.22 0.04500000000000001 0.295 0.06499999999999999
26 0.2225 0.04250000000000001 0.2975 0.06749999999999999
27 0.22 0.04000000000000001 0.2975 0.06749999999999999
28 0.2175 0.037500000000000006 0.295 0.06999999999999999
29 0.22 0.04000000000000001 0.2925 0.06749999999999999
30 0.225 0.04000000000000001 0.2975 0.06749999999999999
31 0.23 0.04000000000000001 0.2975 0.06749999999999999
32 0.2275 0.037500000000000006 0.2975 0.0625
33 0.225 0.04000000000000001 0.295 0.06499999999999999
34 0.23 0.04500000000000001 0.2975 0.06749999999999999
35 0.2275 0.04250000000000001 0.3 0.065
36 0.2275 0.04250000000000001 0.3025 0.0625
37 0.23 0.04500000000000001 0.3075 0.057499999999999996
38 0.23500000000000001 0.04500000000000001 0.3025 0.05249999999999999
39 0.2375 0.04749999999999999 0.3025 0.04749999999999999
40 0.235 0.05499999999999999 0.305 0.044999999999999984
41 0.22999999999999998 0.05499999999999999 0.3125 0.04749999999999999
42 0.23249999999999998 0.057499999999999996 0.3125 0.04749999999999999
43 0.23249999999999998 0.057499999999999996 0.315 0.044999999999999984
44 0.22999999999999998 0.05499999999999999 0.315 0.044999999999999984
45 0.2275 0.05250000000000002 0.3075 0.04749999999999999
46 0.23 0.05000000000000002 0.3125 0.04249999999999998
47 0.225 0.05000000000000002 0.31 0.044999999999999984
48 0.22999999999999998 0.05499999999999999 0.315 0.044999999999999984
49 0.235 0.05499999999999999 0.315 0.044999999999999984
50 0.24 0.05499999999999999 0.3175 0.04249999999999998
51 0.245 0.05499999999999999 0.3175 0.04249999999999998
52 0.24 0.04999999999999999 0.3175 0.03749999999999998
53 0.2425 0.04749999999999999 0.3175 0.03749999999999998
54 0.2475 0.04749999999999999 0.31999999999999995 0.035
55 0.245 0.04999999999999999 0.3175 0.03749999999999998
56 0.2475 0.05249999999999999 0.32 0.03999999999999998
57 0.25 0.05499999999999999 0.31999999999999995 0.035
58 0.2475 0.05249999999999999 0.3225 0.0325
59 0.245 0.04999999999999999 0.32999999999999996 0.035
60 0.2425 0.05249999999999999 0.32999999999999996 0.035
61 0.2475 0.05249999999999999 0.32999999999999996 0.035
62 0.25 0.05499999999999999 0.3325 0.0325
63 0.2525 0.05249999999999999 0.3325 0.0325
64 0.2475 0.04749999999999999 0.33999999999999997 0.03
65 0.2475 0.04749999999999999 0.3425 0.027499999999999997
66 0.2475 0.042499999999999996 0.3425 0.027499999999999997
67 0.245 0.039999999999999994 0.3425 0.027499999999999997
68 0.25 0.03499999999999999 0.33999999999999997 0.024999999999999994
69 0.25 0.039999999999999994 0.33999999999999997 0.024999999999999994
70 0.2525 0.03749999999999999 0.3425 0.027499999999999997
71 0.25 0.03499999999999999 0.3425 0.027499999999999997
72 0.25 0.03499999999999999 0.34750000000000003 0.0325
73 0.2475 0.03749999999999999 0.34750000000000003 0.0325
74 0.2425 0.03750000000000002 0.35 0.035
75 0.245 0.03500000000000002 0.35 0.04000000000000001
76 0.245 0.039999999999999994 0.35250000000000004 0.037500000000000006
77 0.245 0.039999999999999994 0.355 0.035
78 0.2475 0.03749999999999999 0.35250000000000004 0.0325
79 0.245 0.03500000000000002 0.35250000000000004 0.027499999999999997
80 0.2475 0.032500000000000015 0.355 0.03
81 0.2475 0.032500000000000015 0.36 0.035
82 0.2475 0.03749999999999999 0.36250000000000004 0.0325
83 0.2475 0.042499999999999996 0.36250000000000004 0.0325
84 0.2425 0.04249999999999998 0.36 0.03
85 0.2425 0.04749999999999999 0.36 0.03
86 0.24 0.04999999999999999 0.35750000000000004 0.022499999999999996
87 0.2375 0.04749999999999999 0.35750000000000004 0.027499999999999997
88 0.2375 0.04749999999999999 0.355 0.01999999999999999
89 0.2425 0.04749999999999999 0.355 0.01999999999999999
90 0.2425 0.05249999999999999 0.35250000000000004 0.012499999999999983
91 0.2425 0.05249999999999999 0.36 0.015000000000000013
