episodes	DQV	DQV-Max	DQN	DDQN
0	-20.626496988193402	-21.0	-20.757544667133175	-20.554742478382984
1	-20.622606571712446	-21.0	-20.7354753305545	-20.575211380622626
2	-20.616958570701165	-21.0	-20.69551612741575	-20.609031476514726
3	-20.612416719049868	-21.0	-20.64398977089388	-20.643961116830788
4	-20.61050937109544	-21.0	-20.58666055080472	-20.666678919249478
5	-20.609804540586886	-21.0	-20.527118917518468	-20.667514494367392
6	-20.606057266659178	-21.0	-20.467635475828953	-20.644413940094527
7	-20.594207394901126	-21.0	-20.41157310901241	-20.60344718063419
8	-20.571499325014134	-21.0	-20.365282273638798	-20.555554774892666
9	-20.5399376518575	-21.0	-20.33747148144087	-20.511416451764877
10	-20.50706262125895	-21.0	-20.33514968714214	-20.47766045579378
11	-20.48387619616971	-21.0	-20.357916611900837	-20.45630500914843
12	-20.480951997793895	-21.0	-20.39478107858796	-20.44715851031646
13	-20.504321244086977	-21.0	-20.426800536252042	-20.450304691571002
14	-20.552852574760465	-21.0	-20.435598373540593	-20.466636694297833
15	-20.618696117296064	-21.0	-20.41307743411026	-20.49575828971721
16	-20.690669869395407	-21.0	-20.36656791149669	-20.53400981354367
17	-20.758569478160457	-21.0	-20.315363515011782	-20.574545178176365
18	-20.81627721080624	-21.0	-20.280837556842492	-20.609465824635745
19	-20.86248186973847	-21.0	-20.27537159007863	-20.632308483854352
20	-20.898765909836197	-21.0	-20.296218078426335	-20.639041621318672
21	-20.92718061297377	-21.0	-20.32760129896546	-20.627491908365297
22	-20.948521778861597	-21.0	-20.348733718064267	-20.59662451098016
23	-20.962138768654246	-21.0	-20.343669595113926	-20.54705818590847
24	-20.966179847990627	-21.0	-20.308140041768905	-20.482406214226963
25	-20.958352013824296	-21.0	-20.251394416311435	-20.410275436799303
26	-20.936577418396816	-21.0	-20.19240566493543	-20.341129394745508
27	-20.89972589281216	-21.0	-20.15264000539085	-20.285280320086628
28	-20.84869649820793	-21.0	-20.148570138167415	-20.249333699390384
29	-20.787181653495672	-21.0	-20.18681919028377	-20.23448696248539
30	-20.72162992863583	-21.0	-20.262958107751267	-20.237310749140583
31	-20.660301187666718	-21.0	-20.363619442428618	-20.252385048640882
32	-20.611542823162253	-21.0	-20.470838132058457	-20.27461499176956
33	-20.58193243690538	-21.0	-20.56762187834164	-20.300488536478507
34	-20.574727225490584	-21.0	-20.64284195879523	-20.32811403744926
35	-20.5887125995538	-21.0	-20.694131679895303	-20.35687573565248
36	-20.618254415558084	-21.0	-20.726818588198963	-20.386794509768286
37	-20.6545696470212	-21.0	-20.749366035511983	-20.417392010862294
38	-20.688139296793025	-21.0	-20.76807953586703	-20.446697508479794
39	-20.71145584937284	-21.0	-20.783952147380923	-20.47167457329249
40	-20.720959595651493	-21.0	-20.793624561073766	-20.490745701711933
41	-20.71772126461623	-21.0	-20.792961810883018	-20.505774519425565
42	-20.706535016089475	-21.0	-20.78081821683811	-20.52230505037005
43	-20.69385721202439	-21.0	-20.759899893034053	-20.54663093196846
44	-20.685130918795195	-21.0	-20.735181783131782	-20.582034374475164
45	-20.682757144932292	-21.0	-20.710837932730882	-20.62622291289003
46	-20.685643412072842	-21.0	-20.68781055976867	-20.67166422254916
47	-20.6908619795819	-21.0	-20.663679237167724	-20.708529140938218
48	-20.69586719742868	-21.0	-20.634559468611606	-20.72873658616309
49	-20.699884672250207	-21.0	-20.59834513268477	-20.729577606795303
50	-20.702716582172336	-21.0	-20.55742236436229	-20.715205715477616
51	-20.70306189374186	-21.0	-20.519050492565917	-20.694841485817058
52	-20.697617399246116	-21.0	-20.492476585417066	-20.67852327550455
53	-20.68232852394484	-21.0	-20.4842372426752	-20.67211953968812
54	-20.654452114866086	-20.999955388657227	-20.49424508015776	-20.674178139784495
55	-20.614367929130637	-20.999839905234108	-20.51551904496064	-20.6760361924228
56	-20.56610861801222	-20.999463586722793	-20.537386491844142	-20.665072745128835
57	-20.51712702341112	-20.998442627838653	-20.550339580844366	-20.62988962689056
58	-20.477099895440062	-20.995944176256785	-20.549433621132522	-20.565456534382104
59	-20.455590737437124	-20.990475848220335	-20.534904332492623	-20.476637905296396
60	-20.458938873105325	-20.979920714401707	-20.510847186741586	-20.37826281131305
61	-20.487720453837426	-20.96187541756652	-20.483560635950752	-20.290831072147746
62	-20.536315762816553	-20.934595293077603	-20.46030374931697	-20.23297763074885
63	-20.5947887656311	-20.898223373561272	-20.44818522265109	-20.21406641508555
64	-20.651351277266272	-20.855538253832087	-20.452621335776676	-20.231365666936906
65	-20.69453623502647	-20.811504477375593	-20.475037653432402	-20.273463429354557
66	-20.71464839130857	-20.771569264576524	-20.510997985481502	-20.327799312161574
67	-20.705372197633558	-20.739891357587553	-20.55057356244422	-20.386645184812465
68	-20.66539711873024	-20.718401411712996	-20.58136047969775	-20.44747964887582
69	-20.59913524309092	-20.70774895270129	-20.59330648114517	-20.50856964095916
70	-20.51575826313777	-20.707938399640543	-20.582435131901864	-20.564067959560095
71	-20.426689117458206	-20.718112643972162	-20.55130533180329	-20.60308501161329
72	-20.342324391099524	-20.734535756420527	-20.506714171631344	-20.61358630862437
73	-20.269942616524872	-20.74920110085201	-20.457207361045306	-20.588635272711688
74	-20.213490049650773	-20.75060515109292	-20.41186032495588	-20.531264693130126
75	-20.175100172553133	-20.727929697285248	-20.38009050742766	-20.455573608700504
76	-20.156919927222226	-20.6763340840708	-20.370460866665873	-20.383295652056702
77	-20.16147065644552	-20.600288744885624	-20.387928632929352	-20.336670125980337
78	-20.189420439963698	-20.512794518719197	-20.431172381814378	-20.3302197220939
